min.log.penalty, max.log.penalty
2.502283, 3.485061
3.762826, 4.718506
2.456148, 3.643085
4.329752, 5.227207
1.245503, 2.007139
2.325745, 3.026540
-0.379309, 0.465904
-inf, 1.778432
0.802866, 1.462394
4.118283, 4.614795
-0.394304, 0.728014
0.541332, 1.244766
2.907597, 4.290097
2.762680, inf
0.532959, 1.317266
3.864944, 4.797891
2.636561, 3.527584
-inf, 5.441323
0.851809, inf
3.820158, inf
-inf, 1.536130
2.174053, inf
3.306006, 4.465536
-inf, 2.725970
4.438623, 5.236545
-0.043160, 1.452393
-inf, 2.934548
1.337418, 2.463665
2.403195, 3.461369
4.827054, 5.412413
-inf, 1.710501
-0.030828, 1.164640
3.810495, 4.579666
-inf, 4.682515
-inf, 5.064300
-0.247077, 1.235530
1.934851, 2.892015
2.236887, 3.173690
0.395415, 1.124725
3.852274, 4.618215
0.249827, 1.178232
-0.109704, 0.888606
3.903711, 4.534194
2.602072, inf
-inf, 2.338852
1.360054, 2.417220
-inf, 2.317573
3.377849, 4.483108
1.190420, inf
1.001399, 2.129455
-inf, 0.755678
3.301886, 4.135612
1.725110, 2.360938
4.599414, inf
4.040540, 4.810382
0.728907, inf
2.900905, 3.607980
3.009417, 3.742745
3.159842, 4.220612
0.020466, 0.865814
3.307641, 4.196546
0.198857, 0.805857
1.623630, 2.224657
2.705349, 3.587285
3.199912, 4.503409
-0.066572, 1.027187
3.287972, 4.636961
-0.292722, 0.828956
3.409855, inf
4.331642, 5.085125
-inf, 2.637720
-inf, 4.801362
3.809878, 4.763074
3.797252, 4.739513
4.465324, inf
-inf, 2.956034
0.341427, 1.320430
2.573534, 3.664411
1.130954, 1.965004
2.498658, 3.635388
1.779105, 2.379461
1.404924, 2.342129
-0.401208, 0.835052
-inf, 1.376660
2.277269, 3.192382
3.565002, 4.626784
4.090736, 5.086647
3.500517, inf
1.843695, 2.408714
3.707270, 4.618696
4.408090, inf
3.026371, 3.859130
3.052717, 4.210547
2.875971, 3.562354
3.646693, 4.477727
2.275280, 2.995351
-0.137298, 0.617914
0.461376, 1.569062
4.195434, 4.909880
-inf, 3.447947
1.840441, inf
1.139508, 1.957328
1.797847, 2.436116
4.103296, 4.927585
-0.338081, 0.844677
2.693383, inf
-0.334340, 1.325332
0.344269, 1.208387
1.085019, 2.129369
0.728616, 1.718702
-0.178143, 0.774864
4.145167, 4.795529
-inf, 3.547247
1.142958, 2.021875
0.130981, 0.956097
4.013747, 4.674464
-0.115668, 0.797551
-inf, 0.383351
2.892459, 3.653531
-0.519234, 0.257253
4.140506, 5.233366
0.221453, 0.865424
2.531638, 3.395090
2.211708, 3.323795
0.744841, inf
3.663759, 4.379095
3.242591, 4.499993
2.201706, 3.460523
1.361119, 2.052457
2.648801, 4.005369
-inf, 4.442932
0.857319, 2.357071
3.312753, 4.047911
3.496543, 4.801104
0.050523, 1.124864
0.029226, 1.274844
3.159772, inf
2.121633, 3.195971
-inf, 4.806037
-inf, 2.704026
2.873805, 3.771298
0.843949, 1.969199
1.543088, 2.336353
1.736629, 2.336894
-0.373973, 0.711327
3.532660, 4.829642
2.984183, 4.152384
1.828156, 2.900744
-0.054758, 0.706126
0.059778, 0.858382
0.953065, 2.039985
-0.444184, 0.562627
3.700128, 4.394336
1.396049, inf
-0.570199, 0.761679
3.579817, 4.644136
0.797142, 1.468481
0.281197, 0.842874
1.963570, 2.947254
0.186739, 1.524120
2.266906, inf
-inf, 5.227166
2.966481, 3.569018
1.751177, 2.960586
1.355311, 2.159794
3.151202, 4.087970
-0.359733, 0.512514
3.577575, 4.537673
3.969147, 4.776345
2.322138, 3.298503
-0.933935, 0.181012
-inf, 1.129828
1.417237, 2.619380
1.401069, 2.149849
-inf, 4.604411
1.940191, 2.872538
3.172971, 4.719131
4.360317, 5.175088
1.402584, 2.818386
4.505755, 5.286538
-inf, 4.785222
4.697972, 5.345376
1.351918, 2.462759
-0.491120, inf
0.039790, 0.744445
-inf, 2.727244
3.910068, 4.675096
3.131986, inf
2.080370, 3.005278
0.607214, 1.634987
-0.338905, inf
2.866988, 3.912246
0.968580, 2.103191
1.919607, 2.609832
1.990340, 3.023166
1.557528, 2.477212
3.972799, inf
1.415104, 2.790028
1.366805, 2.185511
1.855961, 2.662224
