min.log.penalty, max.log.penalty
0.936868, 1.844746
-0.015658, 0.880483
0.668976, inf
1.325956, inf
1.334554, 1.921841
1.333336, 1.922807
1.178440, 2.031162
0.379283, 1.407119
-0.754188, 0.057984
1.608641, 2.449851
0.861221, 1.973765
1.103052, 1.788261
-0.437908, 0.364669
1.068385, 1.983970
1.038168, 2.016699
-inf, 1.553220
-0.346432, 0.896975
0.328124, 1.164047
0.413996, 0.917052
0.473681, inf
-0.100501, 0.585334
-inf, 1.605037
0.670205, 1.718582
1.155766, 2.085000
-inf, 1.210393
0.978318, 1.566463
-0.358547, 0.909260
-0.268943, 0.737311
0.236182, 1.324185
0.837766, inf
1.128395, 2.045806
-0.099912, 0.647484
1.576376, 2.348318
0.357606, 1.075545
1.563312, 2.379394
1.005912, inf
-inf, 1.596423
-0.053726, 0.951732
0.740251, 1.217561
1.447748, 2.189131
-0.093772, 0.694743
0.266562, 1.242995
1.144205, 2.015706
0.663238, 1.752795
1.147244, 2.181336
1.238589, 2.117245
-0.101284, 0.593652
0.247180, 1.275759
0.252094, 1.271581
-0.126813, 0.870938
-0.665848, 0.442217
1.377464, 2.116092
-inf, 1.559882
-inf, 2.382139
1.150831, 1.872301
1.685147, 2.488397
1.305773, 1.719739
-inf, 2.050713
-inf, 1.552687
-0.574892, 0.629408
1.271063, 2.101113
-0.148585, 0.702490
0.208503, 1.475315
0.903324, 1.816427
0.059175, 0.794221
0.812267, 1.715750
0.920986, inf
0.525213, inf
-0.213658, 0.714356
0.913373, 1.636877
0.614187, 1.603291
0.476770, 1.881198
-0.460466, 0.514282
0.767458, 1.584332
0.230333, 1.111024
1.043426, 2.197725
1.477909, 2.085620
0.453421, 1.261668
0.822458, 1.522211
1.495258, 2.345733
0.130288, inf
-0.227857, inf
1.148690, 2.136787
1.010762, 1.813369
-0.858836, 0.293442
0.104118, 1.133585
-inf, 2.207686
-0.393566, 0.697305
-0.440374, 0.138271
0.589651, 1.393385
-inf, 1.616317
1.332818, 2.229476
1.216585, 1.985329
1.229725, 1.836471
-inf, 1.702341
1.428870, 2.559434
0.080445, 0.618324
-0.219305, 0.510054
1.082929, 2.137073
1.280858, 2.789074
0.420082, 1.410775
-0.013060, 0.664977
0.945622, 2.009646
0.867893, 2.096159
-0.020896, 0.949827
0.843186, 1.728570
-0.162059, 0.861529
1.063271, 1.936220
0.821858, 1.522143
1.366871, 2.051737
-inf, 1.131440
0.269533, 0.705481
-0.006891, inf
0.134637, 1.402869
-0.018553, 0.942138
1.117489, inf
0.500554, 1.310360
-0.068219, inf
0.471380, 1.573338
-0.015792, 0.992005
1.278295, 1.978556
0.103728, 1.013230
-inf, 1.995901
0.154468, inf
-0.301667, 0.359061
0.164411, 1.017214
1.156676, 2.498772
0.409794, 1.497029
0.050304, inf
0.526547, 1.386721
-inf, 1.810547
-0.323919, 0.806208
1.503928, inf
0.908328, 1.939426
1.408489, 2.026469
-0.022314, 1.051572
1.538154, 2.296668
1.343638, 2.886988
0.942840, 1.750540
0.666597, 1.286028
0.283090, 1.438730
1.191238, 2.171007
0.318774, 1.289250
1.019921, 2.171184
0.861200, 1.740849
0.184188, 1.432908
0.373168, 1.649172
-0.175835, 0.678095
0.637304, 1.601482
-0.316778, 0.301192
0.949993, 1.854926
0.546098, inf
1.561767, 2.615011
0.468951, 1.571193
0.625882, 1.705117
1.180572, inf
0.390829, 1.367893
0.928863, 2.016713
1.045948, 1.588794
-0.190472, 0.554027
0.197931, inf
0.923473, 1.926603
0.249611, 1.140850
0.756712, 1.835357
-0.600641, inf
-inf, 2.140298
0.324403, 1.078472
0.872490, 1.775105
0.936603, 1.530128
-0.192895, 0.795426
0.966296, 1.846611
0.025380, 1.077664
0.206870, 1.513684
1.064355, 2.211251
0.481190, 1.800174
1.232833, 2.115486
-inf, 1.001596
1.325437, 1.892424
-inf, 1.397409
0.581218, 1.431122
-0.288121, 0.850307
-0.363872, 0.379690
-inf, 2.666555
0.292946, 1.794903
0.330239, 1.311634
-inf, 1.099622
1.445991, 2.244831
-0.615740, inf
0.311179, 1.135490
0.911883, 2.163778
1.557936, 2.816310
0.760471, inf
-0.233473, 0.624302
1.028236, 2.101647
1.160540, 2.143111
1.238101, 2.434397
-0.213555, 0.777678
1.041131, 1.865654
0.376549, 0.910160
1.335911, 2.588184
