min.log.penalty, max.log.penalty
73.121287, inf
57.030475, 58.184074
61.584211, 62.504266
-inf, -57.790885
25.758848, 26.792157
41.608696, 42.451960
125.774905, inf
37.503880, 38.255609
-67.588072, -66.154310
-4.259686, -3.263981
88.837192, 89.557258
39.300235, 39.964294
56.244292, inf
-inf, 5.460223
39.052389, 39.986700
45.913390, 46.853420
37.628911, 38.318584
-33.684337, -32.692136
-inf, -15.789826
-inf, 58.545518
31.855776, 32.676211
58.697006, 59.675248
2.707326, 3.878779
63.196738, 64.143660
-67.063683, -65.745708
43.772655, 44.969028
-inf, 86.359140
-inf, 133.578416
8.259640, 9.086506
173.843661, 174.480260
5.253564, 6.722886
47.717387, 49.050881
9.349842, 10.396436
74.064224, 75.103639
0.285004, 1.199717
122.755156, 123.458591
-21.823268, -21.217775
-16.133456, inf
63.590115, 64.494209
-6.387996, -5.768487
61.162766, 61.990214
-46.374307, -45.895520
92.418533, 93.120866
-7.903102, -7.198535
91.874787, 92.752856
2.575479, 3.498487
-29.892447, inf
-0.319132, 0.475463
6.577164, 7.888998
-92.971179, -91.823879
40.056810, 41.417455
-13.620094, -12.837917
54.730358, 55.554091
9.984986, 10.646280
160.593924, 161.400394
-inf, 121.715671
-19.561957, -18.407871
3.992744, 4.916259
-inf, 125.142288
-59.937940, -58.999071
-8.375070, -7.669026
-66.935168, -66.067810
50.231455, 51.281117
-inf, 70.977023
38.482698, 39.638419
60.910553, 61.660033
-inf, 55.877061
32.435972, inf
77.596155, 78.621946
-2.766920, -1.748473
-7.547586, -6.227659
0.844260, 1.776478
-94.607048, inf
-14.994659, -14.046247
54.839798, 56.078141
105.530058, 106.255886
-16.903439, -15.657857
-inf, 19.949225
46.417726, 47.161355
-70.314037, -69.712427
120.862379, 121.671508
-inf, 53.637215
91.112743, 92.189083
109.315696, inf
45.358627, 46.000134
-63.943885, inf
34.516404, 35.337327
-81.898518, -81.117989
17.441226, 18.371648
1.416203, 2.485125
82.793961, 83.749784
-44.065855, -43.338820
71.798333, 72.363467
7.774619, inf
-inf, 86.923457
68.773250, inf
37.174903, 37.611369
-inf, 0.174276
39.875458, 40.705233
68.532712, 69.525585
15.436044, 16.165404
-7.842707, -7.373717
72.453782, 73.502102
39.258296, 39.768075
-2.900340, -1.823806
-52.762450, -51.754325
44.002245, 44.501663
-28.947161, -27.688427
17.774933, 18.571896
-inf, 84.287199
57.449382, 58.238174
14.544240, inf
-inf, 40.851373
-10.393769, -9.423776
-0.073923, 0.548808
-7.448141, -6.051027
36.850577, 38.005746
-52.226817, -51.452982
0.253201, 1.100976
-46.944693, -46.025895
43.926018, 44.914501
-10.210442, -9.625183
78.341111, inf
71.071287, 72.005747
134.845522, 135.546714
53.778142, 54.707366
41.016395, inf
-79.958586, -79.155821
-45.600569, -44.200799
127.099521, inf
-70.793704, -70.226202
-151.984051, inf
-37.197233, -35.858265
-67.563816, -67.090253
19.307910, 20.527085
-27.883386, -26.639496
-inf, 100.420999
115.922717, 117.104222
-57.882651, -56.985369
-17.112656, -15.976445
-20.165210, -19.193914
45.918404, inf
31.844872, 32.205782
119.510368, inf
37.685645, 38.430882
-inf, 59.731808
158.132375, 158.790512
-59.672965, -58.937258
-inf, 36.849953
168.479412, 169.122059
-inf, -45.789493
-91.617023, -90.794414
63.038191, 64.064602
-9.293775, -8.100296
3.947421, 4.921331
-20.965537, -20.122182
0.708980, 1.553085
113.064394, 113.811782
54.764331, 55.861787
80.635459, 81.616501
44.671543, 45.255695
43.423664, 44.503402
61.848874, 62.746710
18.070656, 19.107338
-inf, -105.721565
16.717390, 17.813939
41.690287, inf
-27.902154, -26.944543
-27.535984, -26.621053
104.934836, inf
-3.730207, -2.689120
20.745276, 21.606927
30.891243, 31.805264
-31.333811, inf
-inf, 99.604648
10.942110, 12.130456
-28.636647, -27.935728
-4.959562, -3.523654
30.854699, 31.661036
69.448390, 70.261480
51.349610, 52.093793
-97.917966, -97.006950
-62.843024, -61.320540
-34.123027, inf
39.228725, 39.893469
9.583828, 10.265419
28.953509, 29.570741
-1.353674, inf
-156.874810, -155.993103
-76.195287, -75.396459
-56.489329, -54.916204
-61.537636, -60.479691
-6.032437, -5.151258
-45.138176, -44.123708
-77.712701, -76.497633
69.221439, 70.169937
-1.050651, -0.481582
41.578209, 42.709992
-7.482390, -6.711811
26.694440, 27.153536
