min.log.penalty, max.log.penalty
-0.468012, inf
-1.382911, -0.229312
-1.115965, -0.195909
-inf, 1.125532
0.111577, 1.144885
-0.361836, 0.481428
-1.406489, inf
-1.065330, -0.313600
-1.112135, 0.321627
0.572901, 1.568607
0.385109, 1.105175
-0.868413, -0.204354
-1.508745, inf
-inf, 1.066401
-1.482229, -0.547917
0.263866, 1.203895
-0.827249, -0.137576
0.253928, 1.246128
-inf, 0.274309
-inf, 1.163955
-0.412616, 0.407819
0.214001, 1.192243
0.209620, 1.381072
-0.226196, 0.720726
-0.267906, 1.050069
0.237940, 1.434312
-inf, 0.217254
-inf, 1.119740
0.034669, 0.861535
0.193263, 0.829863
0.002427, 1.471749
0.165755, 1.499249
-0.462794, 0.583801
-1.542722, -0.503307
0.446151, 1.360864
0.146556, 0.849991
0.946094, 1.551587
0.566923, inf
-1.094424, -0.190331
0.258906, 0.878415
-1.824844, -0.997396
0.843591, 1.322379
0.279341, 0.981674
-1.247814, -0.543248
-0.571729, 0.306340
-1.426443, -0.503435
-0.197717, inf
-1.251216, -0.456621
-0.895174, 0.416660
-0.775920, 0.371380
0.033916, 1.394561
0.037285, 0.819462
0.102623, 0.926356
0.434855, 1.096149
0.613584, 1.420053
-inf, 0.411951
0.114456, 1.268542
0.101371, 1.024886
-inf, 1.312540
-0.726303, 0.212566
0.469098, 1.175142
0.157220, 1.024578
0.233064, 1.282726
-inf, -0.228566
0.306127, 1.461848
-0.319929, 0.429551
-inf, 1.212884
-0.012959, inf
0.239703, 1.265494
0.308982, 1.327429
-1.624683, -0.304756
0.302834, 1.235052
0.435911, inf
-1.482305, -0.533894
-2.172871, -0.934528
0.153188, 0.879015
-0.339995, 0.905587
-inf, 0.049284
-0.346781, 0.396847
-0.485606, 0.116003
-0.643594, 0.165535
-inf, 0.577314
-0.420595, 0.655745
-0.126360, inf
-0.703087, -0.061579
0.469096, inf
0.470624, 1.291547
0.143335, 0.923865
0.552601, 1.483023
0.526657, 1.595579
-0.582372, 0.373452
0.663907, 1.390942
-0.912544, -0.347410
-1.591978, inf
-inf, -0.379246
0.162909, inf
-0.949604, -0.513137
-inf, 1.403651
-0.012215, 0.817560
0.475991, 1.468863
-0.795395, -0.066035
-0.393435, 0.075555
-0.429769, 0.618551
-1.130860, -0.621080
-1.372108, -0.295575
-0.202554, 0.805571
0.348881, 0.848299
-0.839668, 0.419066
-1.150408, -0.353445
-inf, 1.053289
0.184835, 0.973627
0.186656, inf
-inf, 0.500492
0.342316, 1.312308
0.251814, 0.874545
-0.862080, 0.535034
0.249848, 1.405017
0.580097, 1.353932
-0.234135, 0.613640
0.580581, 1.499379
-1.514004, -0.525521
-0.921249, -0.335990
0.520519, inf
-0.165046, 0.769414
-1.200036, -0.498845
-0.212916, 0.716307
-1.143916, inf
0.201596, 1.004361
-0.945290, 0.454480
-0.496626, inf
0.086171, 0.653673
-0.677633, inf
-0.391116, 0.947851
0.063645, 0.537208
-0.515498, 0.703677
0.539738, 1.783629
-inf, 1.412119
-1.564533, -0.383028
1.017617, 1.914899
-0.398972, 0.737239
-0.102269, 0.869028
-0.612607, inf
-0.133875, 0.227035
-1.161719, inf
-1.141435, -0.396198
-inf, 1.634162
-0.079271, 0.578865
0.639365, 1.375072
-inf, 1.568560
0.890059, 1.532706
-inf, 0.389768
-0.557258, 0.265351
0.636754, 1.663164
-0.693694, 0.499786
0.384419, 1.358329
0.305738, 1.149092
0.246795, 1.090900
-0.936426, -0.189038
0.763397, 1.860852
0.134455, 1.115497
0.479845, 1.063997
-0.273150, 0.806587
-0.012731, 0.885105
0.579091, 1.615773
-inf, 0.805358
0.249940, 1.346489
-0.707177, inf
-0.616315, 0.341297
0.552340, 1.467270
-0.422665, inf
-0.432924, 0.608163
-0.484256, 0.377396
-0.232139, 0.681882
-0.609633, inf
-inf, 1.771843
-1.574580, -0.386233
0.535961, 1.236881
-1.404242, 0.031667
0.492080, 1.298417
-0.502581, 0.310510
-0.567033, 0.177150
-1.242406, -0.331389
-0.674072, 0.848412
0.130146, inf
-0.572835, 0.091908
0.046954, 0.728545
-0.468344, 0.148888
-1.371587, inf
-0.237521, 0.644185
0.746442, 1.545271
-2.167196, -0.594071
-0.296943, 0.761002
0.895593, 1.776772
0.886940, 1.901408
-0.058434, 1.156633
0.286884, 1.235382
0.126052, 0.695121
0.272408, 1.404191
-0.100728, 0.669851
-0.210864, 0.248232
