Dataset = simulated.abs
Using 6 threads to run hyperparameter search
run = hpo
[I 2020-05-25 02:35:40,973] Finished trial#2 with value: 0.0 with parameters: {'learning_rate': 0.10492918156185563, 'max_depth': 2, 'min_child_weight': 6.516297465796531, 'reg_alpha': 1.8238975295779214, 'reg_lambda': 1.6491446561567327, 'aft_loss_distribution_scale': 5.983576128176064}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:41,012] Finished trial#5 with value: 0.0 with parameters: {'learning_rate': 0.0030466729269608707, 'max_depth': 6, 'min_child_weight': 4.165611021241731, 'reg_alpha': 0.46038079799639997, 'reg_lambda': 12.583349035598179, 'aft_loss_distribution_scale': 1.5495009186274795}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:41,053] Finished trial#3 with value: 0.0 with parameters: {'learning_rate': 0.08747709035545122, 'max_depth': 8, 'min_child_weight': 12.612266742648245, 'reg_alpha': 0.0005263721940469274, 'reg_lambda': 0.001074131375399752, 'aft_loss_distribution_scale': 4.500284280872116}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:41,089] Finished trial#0 with value: 0.0 with parameters: {'learning_rate': 0.5061981444663521, 'max_depth': 6, 'min_child_weight': 23.74874020826264, 'reg_alpha': 0.0008312946332411057, 'reg_lambda': 0.04321898723715202, 'aft_loss_distribution_scale': 38.0208305610545}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:41,126] Finished trial#4 with value: 0.0 with parameters: {'learning_rate': 0.9080393656622112, 'max_depth': 8, 'min_child_weight': 55.31013420713227, 'reg_alpha': 29.738599486491307, 'reg_lambda': 9.006059659798066, 'aft_loss_distribution_scale': 3.738479229615355}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:41,161] Finished trial#1 with value: 0.0 with parameters: {'learning_rate': 0.02431888135794834, 'max_depth': 4, 'min_child_weight': 45.87050256023004, 'reg_alpha': 14.358608110634115, 'reg_lambda': 0.00020243496492336076, 'aft_loss_distribution_scale': 17.557325857726934}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:41,219] Finished trial#11 with value: 0.0 with parameters: {'learning_rate': 0.005344383920413735, 'max_depth': 10, 'min_child_weight': 8.219641631191834, 'reg_alpha': 52.15675940296936, 'reg_lambda': 82.75258337784315, 'aft_loss_distribution_scale': 67.11516915073172}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:41,289] Finished trial#6 with value: 0.0 with parameters: {'learning_rate': 0.6257836851572047, 'max_depth': 4, 'min_child_weight': 15.966059816138273, 'reg_alpha': 0.003438986881608688, 'reg_lambda': 74.17016214275111, 'aft_loss_distribution_scale': 10.851556133249037}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:41,328] Finished trial#10 with value: 0.0 with parameters: {'learning_rate': 0.024236252081333787, 'max_depth': 6, 'min_child_weight': 0.34282935535824344, 'reg_alpha': 0.0010358786968903766, 'reg_lambda': 0.00010223843710863555, 'aft_loss_distribution_scale': 32.69452159781136}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:41,365] Finished trial#9 with value: 0.0 with parameters: {'learning_rate': 0.024819326767435194, 'max_depth': 8, 'min_child_weight': 97.07735512730918, 'reg_alpha': 22.748538183399546, 'reg_lambda': 2.133485889130337, 'aft_loss_distribution_scale': 14.899719129323048}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:41,403] Finished trial#7 with value: 0.0 with parameters: {'learning_rate': 0.2407723624871017, 'max_depth': 6, 'min_child_weight': 17.402766480648538, 'reg_alpha': 0.00024106519617052988, 'reg_lambda': 0.21717246388469333, 'aft_loss_distribution_scale': 48.13661719341764}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:41,441] Finished trial#8 with value: 0.0 with parameters: {'learning_rate': 0.01263347574820676, 'max_depth': 10, 'min_child_weight': 0.4261517633643642, 'reg_alpha': 0.0011396406884940805, 'reg_lambda': 0.08830091334482842, 'aft_loss_distribution_scale': 32.25781548215828}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:41,488] Finished trial#12 with value: 0.0 with parameters: {'learning_rate': 0.17164634750742497, 'max_depth': 2, 'min_child_weight': 0.7279213827667623, 'reg_alpha': 14.207265685227707, 'reg_lambda': 0.010256621844173718, 'aft_loss_distribution_scale': 2.8355503634486507}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:41,569] Finished trial#17 with value: 0.0 with parameters: {'learning_rate': 0.0040882296648742655, 'max_depth': 6, 'min_child_weight': 0.6714133412929569, 'reg_alpha': 6.232076051531366, 'reg_lambda': 0.013432687095243555, 'aft_loss_distribution_scale': 19.806954532832023}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:41,607] Finished trial#15 with value: 0.0 with parameters: {'learning_rate': 0.028762282187516006, 'max_depth': 4, 'min_child_weight': 20.569986863753194, 'reg_alpha': 0.03928349173215688, 'reg_lambda': 0.006606902949289381, 'aft_loss_distribution_scale': 19.345272547027054}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:41,646] Finished trial#18 with value: 0.0 with parameters: {'learning_rate': 0.00465052204195642, 'max_depth': 4, 'min_child_weight': 34.760714726285066, 'reg_alpha': 7.348931619615828, 'reg_lambda': 0.0003265062634769041, 'aft_loss_distribution_scale': 2.744552520873945}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:41,683] Finished trial#16 with value: 0.0 with parameters: {'learning_rate': 0.10582402711464615, 'max_depth': 8, 'min_child_weight': 71.57928369848618, 'reg_alpha': 96.81598427125908, 'reg_lambda': 0.03157910603576724, 'aft_loss_distribution_scale': 13.376398336394125}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:41,722] Finished trial#13 with value: 0.0 with parameters: {'learning_rate': 0.0017008743621178806, 'max_depth': 2, 'min_child_weight': 62.59284079127926, 'reg_alpha': 0.002522739872741026, 'reg_lambda': 16.091666356494663, 'aft_loss_distribution_scale': 73.4096017778454}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:41,759] Finished trial#14 with value: 0.0 with parameters: {'learning_rate': 0.0017419723944029125, 'max_depth': 10, 'min_child_weight': 25.174492609831752, 'reg_alpha': 0.0022744541293580477, 'reg_lambda': 55.492346886220645, 'aft_loss_distribution_scale': 1.8995697477385292}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:41,828] Finished trial#24 with value: 0.0 with parameters: {'learning_rate': 0.059338705132107074, 'max_depth': 8, 'min_child_weight': 3.7310862188066354, 'reg_alpha': 0.06386998478205179, 'reg_lambda': 0.00821200096996869, 'aft_loss_distribution_scale': 6.209168013998699}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:41,874] Finished trial#19 with value: 0.0 with parameters: {'learning_rate': 0.38310915124147216, 'max_depth': 6, 'min_child_weight': 1.2499740388769023, 'reg_alpha': 0.0013838296341082328, 'reg_lambda': 0.019903928608758337, 'aft_loss_distribution_scale': 7.26141452499659}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:41,913] Finished trial#20 with value: 0.0 with parameters: {'learning_rate': 0.1853019375521313, 'max_depth': 4, 'min_child_weight': 11.957151428387542, 'reg_alpha': 14.480997629301086, 'reg_lambda': 0.011731293927726396, 'aft_loss_distribution_scale': 5.857071816551906}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:41,958] Finished trial#21 with value: 0.0 with parameters: {'learning_rate': 0.010355655510295858, 'max_depth': 4, 'min_child_weight': 17.06959467933221, 'reg_alpha': 94.53360960978294, 'reg_lambda': 0.002365085860767423, 'aft_loss_distribution_scale': 13.12192269110749}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:41,996] Finished trial#23 with value: 0.0 with parameters: {'learning_rate': 0.10434538058307795, 'max_depth': 6, 'min_child_weight': 0.7185505892026037, 'reg_alpha': 2.1812696432809675, 'reg_lambda': 0.0002930167206448415, 'aft_loss_distribution_scale': 14.45306181769891}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:42,025] Finished trial#22 with value: 0.0 with parameters: {'learning_rate': 0.26872917744583047, 'max_depth': 4, 'min_child_weight': 19.14385431299941, 'reg_alpha': 0.026091090060714642, 'reg_lambda': 0.10586966939576728, 'aft_loss_distribution_scale': 4.025401284773822}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:42,093] Finished trial#25 with value: 0.0 with parameters: {'learning_rate': 0.0052402130441991795, 'max_depth': 8, 'min_child_weight': 6.823019734294736, 'reg_alpha': 0.0012303818056057434, 'reg_lambda': 10.504352358496455, 'aft_loss_distribution_scale': 2.439067563065318}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:42,143] Finished trial#27 with value: 0.0 with parameters: {'learning_rate': 0.02727247733566466, 'max_depth': 8, 'min_child_weight': 17.905863237066647, 'reg_alpha': 0.2863430713090893, 'reg_lambda': 0.029741864318994806, 'aft_loss_distribution_scale': 50.44239282757583}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:42,184] Finished trial#26 with value: 0.0 with parameters: {'learning_rate': 0.0016087541066397944, 'max_depth': 10, 'min_child_weight': 0.6985920745784377, 'reg_alpha': 0.9771675343837671, 'reg_lambda': 1.752140273661107, 'aft_loss_distribution_scale': 44.22096280743575}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:42,225] Finished trial#29 with value: 0.0 with parameters: {'learning_rate': 0.001357610081035783, 'max_depth': 8, 'min_child_weight': 0.1177064782626272, 'reg_alpha': 0.7598427019965615, 'reg_lambda': 0.004009714652873051, 'aft_loss_distribution_scale': 3.1024990251139353}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:42,253] Finished trial#30 with value: 0.0 with parameters: {'learning_rate': 0.8686857123171234, 'max_depth': 4, 'min_child_weight': 20.216560661424413, 'reg_alpha': 5.88374433583856, 'reg_lambda': 0.027927628670150077, 'aft_loss_distribution_scale': 15.60502851028647}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:42,300] Finished trial#28 with value: 0.0 with parameters: {'learning_rate': 0.14094549944932816, 'max_depth': 10, 'min_child_weight': 5.95970063785787, 'reg_alpha': 86.02925200629244, 'reg_lambda': 0.00013589361702992747, 'aft_loss_distribution_scale': 79.05309151386966}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:42,363] Finished trial#31 with value: 0.0 with parameters: {'learning_rate': 0.09254416471071884, 'max_depth': 6, 'min_child_weight': 75.61511435321039, 'reg_alpha': 0.005139631185762418, 'reg_lambda': 0.0033748452643244265, 'aft_loss_distribution_scale': 8.082646050561925}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:42,415] Finished trial#32 with value: 0.0 with parameters: {'learning_rate': 0.07379692306962059, 'max_depth': 8, 'min_child_weight': 0.8639309269526255, 'reg_alpha': 0.007532496803899275, 'reg_lambda': 0.00978346314788499, 'aft_loss_distribution_scale': 1.264593874793559}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:42,454] Finished trial#33 with value: 0.0 with parameters: {'learning_rate': 0.0014800586605379774, 'max_depth': 6, 'min_child_weight': 64.96512011126454, 'reg_alpha': 0.0020979990194306573, 'reg_lambda': 0.0225165358393783, 'aft_loss_distribution_scale': 94.63877077953535}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:42,496] Finished trial#35 with value: 0.0 with parameters: {'learning_rate': 0.11020428946481706, 'max_depth': 2, 'min_child_weight': 9.878480285091722, 'reg_alpha': 0.0001906115167810221, 'reg_lambda': 0.00014688776425347548, 'aft_loss_distribution_scale': 1.1110885909520067}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:42,534] Finished trial#34 with value: 0.0 with parameters: {'learning_rate': 0.008062770394210507, 'max_depth': 2, 'min_child_weight': 0.5401941508303979, 'reg_alpha': 0.02402767109292201, 'reg_lambda': 0.7226803283319104, 'aft_loss_distribution_scale': 1.543398236569726}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:42,570] Finished trial#36 with value: 0.0 with parameters: {'learning_rate': 0.003088036363695201, 'max_depth': 8, 'min_child_weight': 24.19547054402489, 'reg_alpha': 0.00021577483148644102, 'reg_lambda': 3.224811305061518, 'aft_loss_distribution_scale': 4.104660278517627}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:42,634] Finished trial#37 with value: 0.0 with parameters: {'learning_rate': 0.43723111440094153, 'max_depth': 10, 'min_child_weight': 2.2417583770548517, 'reg_alpha': 0.04241177006770795, 'reg_lambda': 0.00011459951567359221, 'aft_loss_distribution_scale': 1.0120619587035065}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:42,688] Finished trial#42 with value: 0.0 with parameters: {'learning_rate': 0.02690561379847653, 'max_depth': 2, 'min_child_weight': 42.31406913764525, 'reg_alpha': 42.94718861152889, 'reg_lambda': 2.992560140806192, 'aft_loss_distribution_scale': 32.38886945150291}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:42,731] Finished trial#39 with value: 0.0 with parameters: {'learning_rate': 0.2427855068091314, 'max_depth': 6, 'min_child_weight': 2.7270022663208437, 'reg_alpha': 0.00012267315937593767, 'reg_lambda': 20.103749289258136, 'aft_loss_distribution_scale': 15.692373945096357}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:42,769] Finished trial#38 with value: 0.0 with parameters: {'learning_rate': 0.001112922830813048, 'max_depth': 8, 'min_child_weight': 31.572235619109104, 'reg_alpha': 0.00033040858101257944, 'reg_lambda': 0.006311373936940931, 'aft_loss_distribution_scale': 3.101464232816903}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:42,817] Finished trial#40 with value: 0.0 with parameters: {'learning_rate': 0.03177863401668753, 'max_depth': 8, 'min_child_weight': 1.148323750600129, 'reg_alpha': 0.5464106418934135, 'reg_lambda': 1.6108305622917614, 'aft_loss_distribution_scale': 11.449311417819114}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:42,855] Finished trial#41 with value: 0.0 with parameters: {'learning_rate': 0.1003283249636667, 'max_depth': 4, 'min_child_weight': 0.810543306497427, 'reg_alpha': 21.302764827597294, 'reg_lambda': 0.0008176687630566428, 'aft_loss_distribution_scale': 11.333539963396309}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:42,909] Finished trial#43 with value: 0.0 with parameters: {'learning_rate': 0.5278058813478731, 'max_depth': 2, 'min_child_weight': 1.2108078435027116, 'reg_alpha': 1.6722356544229129, 'reg_lambda': 0.010092867515671886, 'aft_loss_distribution_scale': 66.28507092739125}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:42,973] Finished trial#44 with value: 0.0 with parameters: {'learning_rate': 0.08276884102196515, 'max_depth': 4, 'min_child_weight': 2.7709308669956023, 'reg_alpha': 0.04243300148630694, 'reg_lambda': 0.032395122495243796, 'aft_loss_distribution_scale': 7.026726305818285}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:43,015] Finished trial#46 with value: 0.0 with parameters: {'learning_rate': 0.001288956350264552, 'max_depth': 4, 'min_child_weight': 26.013985428602055, 'reg_alpha': 46.54554910957203, 'reg_lambda': 0.6800206195503096, 'aft_loss_distribution_scale': 65.30436654015413}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:43,091] Finished trial#45 with value: 0.0 with parameters: {'learning_rate': 0.00997761243228263, 'max_depth': 6, 'min_child_weight': 4.437262316386515, 'reg_alpha': 0.24659270914061182, 'reg_lambda': 0.18936551047695094, 'aft_loss_distribution_scale': 8.114551465536682}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:43,092] Finished trial#48 with value: 0.0 with parameters: {'learning_rate': 0.002988505093405559, 'max_depth': 2, 'min_child_weight': 0.1296426594680412, 'reg_alpha': 0.011408641893745049, 'reg_lambda': 6.396986608446499, 'aft_loss_distribution_scale': 25.04688919393093}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:43,138] Finished trial#47 with value: 0.0 with parameters: {'learning_rate': 0.019515827572628514, 'max_depth': 6, 'min_child_weight': 23.987852067009438, 'reg_alpha': 0.058054784246155414, 'reg_lambda': 0.04249935069577627, 'aft_loss_distribution_scale': 8.873402220167772}. Best is trial#2 with value: 0.0.
[I 2020-05-25 02:35:43,183] Finished trial#49 with value: 0.0 with parameters: {'learning_rate': 0.0011266513618217605, 'max_depth': 6, 'min_child_weight': 15.01267858030949, 'reg_alpha': 0.002017431802053704, 'reg_lambda': 0.005989666357126721, 'aft_loss_distribution_scale': 4.695624127100104}. Best is trial#2 with value: 0.0.
