sequenceID,fold
H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr15:77912000-82829645,2
H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr1:148734147-148954460,3
H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr1:149004460-149459645,1
H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr1:149509645-205922707,3
H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr20:34947085-61091437,1
H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr4:9324642-31820917,2
H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr7:282484-50370631,4
H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr8:7524649-12091854,3
H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr9:10000-39663686,3
H3K27me3_RL_cancer/samples/BT245/C24-Rx/problems/chr15:77912000-82829645,2
H3K27me3_RL_cancer/samples/BT245/C24-Rx/problems/chr1:148734147-148954460,3
H3K27me3_RL_cancer/samples/BT245/C24-Rx/problems/chr1:149004460-149459645,1
H3K27me3_RL_cancer/samples/BT245/C24-Rx/problems/chr1:149509645-205922707,3
H3K27me3_RL_cancer/samples/BT245/C24-Rx/problems/chr20:34947085-61091437,1
H3K27me3_RL_cancer/samples/BT245/C24-Rx/problems/chr4:9324642-31820917,2
H3K27me3_RL_cancer/samples/BT245/C24-Rx/problems/chr7:282484-50370631,4
H3K27me3_RL_cancer/samples/BT245/C24-Rx/problems/chr8:7524649-12091854,3
H3K27me3_RL_cancer/samples/BT245/C24-Rx/problems/chr9:10000-39663686,3
H3K27me3_RL_cancer/samples/BT245/p6/problems/chr15:77912000-82829645,2
H3K27me3_RL_cancer/samples/BT245/p6/problems/chr1:148734147-148954460,3
H3K27me3_RL_cancer/samples/BT245/p6/problems/chr1:149004460-149459645,1
H3K27me3_RL_cancer/samples/BT245/p6/problems/chr1:149509645-205922707,3
H3K27me3_RL_cancer/samples/BT245/p6/problems/chr20:34947085-61091437,1
H3K27me3_RL_cancer/samples/BT245/p6/problems/chr4:9324642-31820917,2
H3K27me3_RL_cancer/samples/BT245/p6/problems/chr7:282484-50370631,4
H3K27me3_RL_cancer/samples/BT245/p6/problems/chr8:7524649-12091854,3
H3K27me3_RL_cancer/samples/BT245/p6/problems/chr9:10000-39663686,3
H3K27me3_RL_cancer/samples/BT416/C11-Rx/problems/chr15:77912000-82829645,2
H3K27me3_RL_cancer/samples/BT416/C11-Rx/problems/chr1:148734147-148954460,3
H3K27me3_RL_cancer/samples/BT416/C11-Rx/problems/chr1:149004460-149459645,1
H3K27me3_RL_cancer/samples/BT416/C11-Rx/problems/chr1:149509645-205922707,3
H3K27me3_RL_cancer/samples/BT416/C11-Rx/problems/chr20:34947085-61091437,1
H3K27me3_RL_cancer/samples/BT416/C11-Rx/problems/chr4:9324642-31820917,2
H3K27me3_RL_cancer/samples/BT416/C11-Rx/problems/chr7:282484-50370631,4
H3K27me3_RL_cancer/samples/BT416/C11-Rx/problems/chr8:7524649-12091854,3
H3K27me3_RL_cancer/samples/BT416/C11-Rx/problems/chr9:10000-39663686,3
H3K27me3_RL_cancer/samples/BT416/p8/problems/chr15:77912000-82829645,2
H3K27me3_RL_cancer/samples/BT416/p8/problems/chr1:148734147-148954460,3
H3K27me3_RL_cancer/samples/BT416/p8/problems/chr1:149004460-149459645,1
H3K27me3_RL_cancer/samples/BT416/p8/problems/chr1:149509645-205922707,3
H3K27me3_RL_cancer/samples/BT416/p8/problems/chr20:34947085-61091437,1
H3K27me3_RL_cancer/samples/BT416/p8/problems/chr4:9324642-31820917,2
H3K27me3_RL_cancer/samples/BT416/p8/problems/chr7:282484-50370631,4
H3K27me3_RL_cancer/samples/BT416/p8/problems/chr8:7524649-12091854,3
H3K27me3_RL_cancer/samples/BT416/p8/problems/chr9:10000-39663686,3
H3K27me3_RL_cancer/samples/DIPGVI/C27/problems/chr15:77912000-82829645,2
H3K27me3_RL_cancer/samples/DIPGVI/C27/problems/chr1:148734147-148954460,3
H3K27me3_RL_cancer/samples/DIPGVI/C27/problems/chr1:149004460-149459645,1
H3K27me3_RL_cancer/samples/DIPGVI/C27/problems/chr1:149509645-205922707,3
H3K27me3_RL_cancer/samples/DIPGVI/C27/problems/chr20:34947085-61091437,1
H3K27me3_RL_cancer/samples/DIPGVI/C27/problems/chr4:9324642-31820917,2
H3K27me3_RL_cancer/samples/DIPGVI/C27/problems/chr7:282484-50370631,4
H3K27me3_RL_cancer/samples/DIPGVI/C27/problems/chr8:7524649-12091854,3
H3K27me3_RL_cancer/samples/DIPGVI/C27/problems/chr9:10000-39663686,3
H3K27me3_RL_cancer/samples/DIPGVI/C30-Rx/problems/chr15:77912000-82829645,2
H3K27me3_RL_cancer/samples/DIPGVI/C30-Rx/problems/chr1:148734147-148954460,3
H3K27me3_RL_cancer/samples/DIPGVI/C30-Rx/problems/chr1:149004460-149459645,1
H3K27me3_RL_cancer/samples/DIPGVI/C30-Rx/problems/chr1:149509645-205922707,3
H3K27me3_RL_cancer/samples/DIPGVI/C30-Rx/problems/chr20:34947085-61091437,1
H3K27me3_RL_cancer/samples/DIPGVI/C30-Rx/problems/chr4:9324642-31820917,2
H3K27me3_RL_cancer/samples/DIPGVI/C30-Rx/problems/chr7:282484-50370631,4
H3K27me3_RL_cancer/samples/DIPGVI/C30-Rx/problems/chr8:7524649-12091854,3
H3K27me3_RL_cancer/samples/DIPGVI/C30-Rx/problems/chr9:10000-39663686,3
H3K27me3_RL_cancer/samples/DIPGXIII/C12-Rx/problems/chr15:77912000-82829645,2
H3K27me3_RL_cancer/samples/DIPGXIII/C12-Rx/problems/chr1:148734147-148954460,3
H3K27me3_RL_cancer/samples/DIPGXIII/C12-Rx/problems/chr1:149004460-149459645,1
H3K27me3_RL_cancer/samples/DIPGXIII/C12-Rx/problems/chr1:149509645-205922707,3
H3K27me3_RL_cancer/samples/DIPGXIII/C12-Rx/problems/chr20:34947085-61091437,1
H3K27me3_RL_cancer/samples/DIPGXIII/C12-Rx/problems/chr4:9324642-31820917,2
H3K27me3_RL_cancer/samples/DIPGXIII/C12-Rx/problems/chr7:282484-50370631,4
H3K27me3_RL_cancer/samples/DIPGXIII/C12-Rx/problems/chr8:7524649-12091854,3
H3K27me3_RL_cancer/samples/DIPGXIII/C12-Rx/problems/chr9:10000-39663686,3
H3K27me3_RL_cancer/samples/DIPGXIII/C14-Rx/problems/chr15:77912000-82829645,2
H3K27me3_RL_cancer/samples/DIPGXIII/C14-Rx/problems/chr1:148734147-148954460,3
H3K27me3_RL_cancer/samples/DIPGXIII/C14-Rx/problems/chr1:149004460-149459645,1
H3K27me3_RL_cancer/samples/DIPGXIII/C14-Rx/problems/chr1:149509645-205922707,3
H3K27me3_RL_cancer/samples/DIPGXIII/C14-Rx/problems/chr20:34947085-61091437,1
H3K27me3_RL_cancer/samples/DIPGXIII/C14-Rx/problems/chr4:9324642-31820917,2
H3K27me3_RL_cancer/samples/DIPGXIII/C14-Rx/problems/chr7:282484-50370631,4
H3K27me3_RL_cancer/samples/DIPGXIII/C14-Rx/problems/chr8:7524649-12091854,3
H3K27me3_RL_cancer/samples/DIPGXIII/C14-Rx/problems/chr9:10000-39663686,3
H3K27me3_RL_cancer/samples/DIPGXIII/p11/problems/chr15:77912000-82829645,2
H3K27me3_RL_cancer/samples/DIPGXIII/p11/problems/chr1:148734147-148954460,3
H3K27me3_RL_cancer/samples/DIPGXIII/p11/problems/chr1:149004460-149459645,1
H3K27me3_RL_cancer/samples/DIPGXIII/p11/problems/chr1:149509645-205922707,3
H3K27me3_RL_cancer/samples/DIPGXIII/p11/problems/chr20:34947085-61091437,1
H3K27me3_RL_cancer/samples/DIPGXIII/p11/problems/chr4:9324642-31820917,2
H3K27me3_RL_cancer/samples/DIPGXIII/p11/problems/chr7:282484-50370631,4
H3K27me3_RL_cancer/samples/DIPGXIII/p11/problems/chr8:7524649-12091854,3
H3K27me3_RL_cancer/samples/DIPGXIII/p11/problems/chr9:10000-39663686,3
H3K27me3_RL_cancer/samples/G477/p5-Rx/problems/chr15:77912000-82829645,2
H3K27me3_RL_cancer/samples/G477/p5-Rx/problems/chr1:148734147-148954460,3
H3K27me3_RL_cancer/samples/G477/p5-Rx/problems/chr1:149004460-149459645,1
H3K27me3_RL_cancer/samples/G477/p5-Rx/problems/chr1:149509645-205922707,3
H3K27me3_RL_cancer/samples/G477/p5-Rx/problems/chr20:34947085-61091437,1
H3K27me3_RL_cancer/samples/G477/p5-Rx/problems/chr4:9324642-31820917,2
H3K27me3_RL_cancer/samples/G477/p5-Rx/problems/chr7:282484-50370631,4
H3K27me3_RL_cancer/samples/G477/p5-Rx/problems/chr8:7524649-12091854,3
H3K27me3_RL_cancer/samples/G477/p5-Rx/problems/chr9:10000-39663686,3
H3K27me3_RL_cancer/samples/G477/p6-Rx/problems/chr15:77912000-82829645,2
H3K27me3_RL_cancer/samples/G477/p6-Rx/problems/chr1:148734147-148954460,3
H3K27me3_RL_cancer/samples/G477/p6-Rx/problems/chr1:149004460-149459645,1
H3K27me3_RL_cancer/samples/G477/p6-Rx/problems/chr1:149509645-205922707,3
H3K27me3_RL_cancer/samples/G477/p6-Rx/problems/chr20:34947085-61091437,1
H3K27me3_RL_cancer/samples/G477/p6-Rx/problems/chr4:9324642-31820917,2
H3K27me3_RL_cancer/samples/G477/p6-Rx/problems/chr7:282484-50370631,4
H3K27me3_RL_cancer/samples/G477/p6-Rx/problems/chr8:7524649-12091854,3
H3K27me3_RL_cancer/samples/G477/p6-Rx/problems/chr9:10000-39663686,3
H3K27me3_RL_cancer/samples/G477/p6/problems/chr15:77912000-82829645,2
H3K27me3_RL_cancer/samples/G477/p6/problems/chr1:148734147-148954460,3
H3K27me3_RL_cancer/samples/G477/p6/problems/chr1:149004460-149459645,1
H3K27me3_RL_cancer/samples/G477/p6/problems/chr1:149509645-205922707,3
H3K27me3_RL_cancer/samples/G477/p6/problems/chr20:34947085-61091437,1
H3K27me3_RL_cancer/samples/G477/p6/problems/chr4:9324642-31820917,2
H3K27me3_RL_cancer/samples/G477/p6/problems/chr7:282484-50370631,4
H3K27me3_RL_cancer/samples/G477/p6/problems/chr8:7524649-12091854,3
H3K27me3_RL_cancer/samples/G477/p6/problems/chr9:10000-39663686,3
H3K27me3_RL_cancer/samples/Input/BT416_C11-Rx/problems/chr15:77912000-82829645,2
H3K27me3_RL_cancer/samples/Input/BT416_C11-Rx/problems/chr1:148734147-148954460,3
H3K27me3_RL_cancer/samples/Input/BT416_C11-Rx/problems/chr1:149004460-149459645,1
H3K27me3_RL_cancer/samples/Input/BT416_C11-Rx/problems/chr1:149509645-205922707,3
H3K27me3_RL_cancer/samples/Input/BT416_C11-Rx/problems/chr20:34947085-61091437,1
H3K27me3_RL_cancer/samples/Input/BT416_C11-Rx/problems/chr4:9324642-31820917,2
H3K27me3_RL_cancer/samples/Input/BT416_C11-Rx/problems/chr7:282484-50370631,4
H3K27me3_RL_cancer/samples/Input/BT416_C11-Rx/problems/chr8:7524649-12091854,3
H3K27me3_RL_cancer/samples/Input/BT416_C11-Rx/problems/chr9:10000-39663686,3
H3K27me3_RL_cancer/samples/Input/DIPGXIII_C14-Rx/problems/chr15:77912000-82829645,2
H3K27me3_RL_cancer/samples/Input/DIPGXIII_C14-Rx/problems/chr1:148734147-148954460,3
H3K27me3_RL_cancer/samples/Input/DIPGXIII_C14-Rx/problems/chr1:149004460-149459645,1
H3K27me3_RL_cancer/samples/Input/DIPGXIII_C14-Rx/problems/chr1:149509645-205922707,3
H3K27me3_RL_cancer/samples/Input/DIPGXIII_C14-Rx/problems/chr20:34947085-61091437,1
H3K27me3_RL_cancer/samples/Input/DIPGXIII_C14-Rx/problems/chr4:9324642-31820917,2
H3K27me3_RL_cancer/samples/Input/DIPGXIII_C14-Rx/problems/chr7:282484-50370631,4
H3K27me3_RL_cancer/samples/Input/DIPGXIII_C14-Rx/problems/chr8:7524649-12091854,3
H3K27me3_RL_cancer/samples/Input/DIPGXIII_C14-Rx/problems/chr9:10000-39663686,3
H3K27me3_RL_cancer/samples/PS10801/C13-Rx/problems/chr15:77912000-82829645,2
H3K27me3_RL_cancer/samples/PS10801/C13-Rx/problems/chr1:148734147-148954460,3
H3K27me3_RL_cancer/samples/PS10801/C13-Rx/problems/chr1:149004460-149459645,1
H3K27me3_RL_cancer/samples/PS10801/C13-Rx/problems/chr1:149509645-205922707,3
H3K27me3_RL_cancer/samples/PS10801/C13-Rx/problems/chr20:34947085-61091437,1
H3K27me3_RL_cancer/samples/PS10801/C13-Rx/problems/chr4:9324642-31820917,2
H3K27me3_RL_cancer/samples/PS10801/C13-Rx/problems/chr7:282484-50370631,4
H3K27me3_RL_cancer/samples/PS10801/C13-Rx/problems/chr8:7524649-12091854,3
H3K27me3_RL_cancer/samples/PS10801/C13-Rx/problems/chr9:10000-39663686,3
H3K27me3_RL_cancer/samples/PS10801/p18/problems/chr15:77912000-82829645,2
H3K27me3_RL_cancer/samples/PS10801/p18/problems/chr1:148734147-148954460,3
H3K27me3_RL_cancer/samples/PS10801/p18/problems/chr1:149004460-149459645,1
H3K27me3_RL_cancer/samples/PS10801/p18/problems/chr1:149509645-205922707,3
H3K27me3_RL_cancer/samples/PS10801/p18/problems/chr20:34947085-61091437,1
H3K27me3_RL_cancer/samples/PS10801/p18/problems/chr4:9324642-31820917,2
H3K27me3_RL_cancer/samples/PS10801/p18/problems/chr7:282484-50370631,4
H3K27me3_RL_cancer/samples/PS10801/p18/problems/chr8:7524649-12091854,3
H3K27me3_RL_cancer/samples/PS10801/p18/problems/chr9:10000-39663686,3
H3K27me3_RL_cancer/samples/pcGBM2/p18-Rx/problems/chr15:77912000-82829645,2
H3K27me3_RL_cancer/samples/pcGBM2/p18-Rx/problems/chr1:148734147-148954460,3
H3K27me3_RL_cancer/samples/pcGBM2/p18-Rx/problems/chr1:149004460-149459645,1
H3K27me3_RL_cancer/samples/pcGBM2/p18-Rx/problems/chr1:149509645-205922707,3
H3K27me3_RL_cancer/samples/pcGBM2/p18-Rx/problems/chr20:34947085-61091437,1
H3K27me3_RL_cancer/samples/pcGBM2/p18-Rx/problems/chr4:9324642-31820917,2
H3K27me3_RL_cancer/samples/pcGBM2/p18-Rx/problems/chr7:282484-50370631,4
H3K27me3_RL_cancer/samples/pcGBM2/p18-Rx/problems/chr8:7524649-12091854,3
H3K27me3_RL_cancer/samples/pcGBM2/p18-Rx/problems/chr9:10000-39663686,3
H3K27me3_RL_cancer/samples/pcGBM2/p18/problems/chr15:77912000-82829645,2
H3K27me3_RL_cancer/samples/pcGBM2/p18/problems/chr1:148734147-148954460,3
H3K27me3_RL_cancer/samples/pcGBM2/p18/problems/chr1:149004460-149459645,1
H3K27me3_RL_cancer/samples/pcGBM2/p18/problems/chr1:149509645-205922707,3
H3K27me3_RL_cancer/samples/pcGBM2/p18/problems/chr20:34947085-61091437,1
H3K27me3_RL_cancer/samples/pcGBM2/p18/problems/chr4:9324642-31820917,2
H3K27me3_RL_cancer/samples/pcGBM2/p18/problems/chr7:282484-50370631,4
H3K27me3_RL_cancer/samples/pcGBM2/p18/problems/chr8:7524649-12091854,3
H3K27me3_RL_cancer/samples/pcGBM2/p18/problems/chr9:10000-39663686,3
