sequenceID,quartile.0%,quartile.25%,quartile.50%,quartile.75%,quartile.100%,mean,sd,bases,data,log+1.quartile.0%,log+1.quartile.25%,log+1.quartile.50%,log+1.quartile.75%,log+1.quartile.100%,log+1.mean,log+1.sd,log+1.bases,log+1.data,log.quartile.0%,log.quartile.25%,log.quartile.50%,log.quartile.75%,log.quartile.100%,log.mean,log.sd,log.bases,log.data,log.log.quartile.0%,log.log.quartile.25%,log.log.quartile.50%,log.log.quartile.75%,log.log.quartile.100%,log.log.mean,log.log.sd,log.log.bases,log.log.data
H3K27ac_TDH_some/samples/bcell/MS009101/problems/chr1:13607162-16800000,0,0,1,3,301,3.08839565302092,8.03684755477318,3192838,152234,0,0,0.693147180559945,1.38629436111989,5.71042701737487,1.40815263222521,2.20131039176937,14.9764210476258,11.933180658551,-Inf,-Inf,0,1.09861228866811,5.70711026474888,1.12765174993337,2.084036911124,14.9764207344248,11.9331740897378,,,-Inf,0.0940478276166991,1.74171281233321,0.120137373079661,0.734306835406054,2.70647701325252,2.47932226021413
H3K27ac_TDH_some/samples/bcell/MS009101/problems/chr1:149509645-205922707,0,1,3,6,263,4.42287433360735,6.12082690333093,56413062,3940356,0,0.693147180559945,1.38629436111989,1.94591014905531,5.57594910314632,1.69062599473543,1.96302385678865,17.8482113031252,15.1867818863064,-Inf,0,1.09861228866811,1.79175946922805,5.57215403217776,1.48678978645619,1.81169720232039,17.8482112853988,15.1867816325223,,-Inf,0.0940478276166991,0.583198080782659,1.71778169950133,0.396619289936726,0.594264086769674,2.88190329510357,2.72042542006586
H3K27ac_TDH_some/samples/bcell/MS009101/problems/chr1:30028082-91800000,0,1,3,5,275,3.91101662085351,5.17938024894475,61771918,3895406,0,0.693147180559945,1.38629436111989,1.79175946922805,5.62040086571715,1.59148097146464,1.82121798309861,17.9389594340505,15.1753087247676,-Inf,0,1.09861228866811,1.6094379124341,5.61677109766657,1.36379734553512,1.64468540605273,17.9389594178619,15.175308468055,,-Inf,0.0940478276166991,0.475884995327111,1.72575696101378,0.31027297472851,0.497549123407016,2.88697485148472,2.71966966412315
H3K27ac_TDH_some/samples/bcell/MS009101/problems/chr3:60000-66170270,0,1,3,5,286,4.13859227923286,5.37674306052884,66110270,4388540,0,0.693147180559945,1.38629436111989,1.79175946922805,5.65948221575962,1.63677916632066,1.85265747493114,18.0068346785299,15.2945073835706,-Inf,0,1.09861228866811,1.6094379124341,5.65599181081985,1.42035570084339,1.68208281177393,18.0068346634037,15.2945071557045,,-Inf,0.0940478276166991,0.475884995327111,1.73271548071837,0.350907333796581,0.520032794449338,2.89075138934945,2.72749375450799
H3K27ac_TDH_some/samples/bcell/MS009101/problems/chr3:93504854-194041961,0,1,3,5,311,4.09206766810984,5.50841597301562,100537107,6546188,0,0.693147180559945,1.38629436111989,1.79175946922805,5.74300318780948,1.62768396970934,1.87309610449543,18.4260374511442,15.6943936062204,-Inf,0,1.09861228866811,1.6094379124341,5.73979291217923,1.40905038463639,1.70627709962257,18.4260374411976,15.6943934534598,,-Inf,0.0940478276166991,0.475884995327111,1.74742313166309,0.342915991422967,0.534313862387684,2.9137647426611,2.75330354370196
H3K27ac_TDH_some/samples/bcell/MS012702/problems/chr1:13607162-16800000,0,0,1,3,229,2.83451399663873,7.00771845917197,3192838,139610,0,0,0.693147180559945,1.38629436111989,5.4380793089232,1.34404269840225,2.08040588394882,14.9764210476258,11.8466152627677,-Inf,-Inf,0,1.09861228866811,5.43372200355424,1.04187049272689,1.94701217862217,14.9764207344248,11.8466080999827,,,-Inf,0.0940478276166991,1.69262435098263,0.0410176483966037,0.666295981440953,2.70647701325252,2.47204159031933
H3K27ac_TDH_some/samples/bcell/MS012702/problems/chr1:149509645-205922707,0,1,3,6,269,4.59551864070062,6.31879847359711,56413062,3941791,0,0.693147180559945,1.38629436111989,1.94591014905531,5.59842195899838,1.72196603464393,1.99044617154908,17.8482113031252,15.1871460002088,-Inf,0,1.09861228866811,1.79175946922805,5.59471137960184,1.52508162010214,1.84352907514746,17.8482112853988,15.1871457465171,,-Inf,0.0940478276166991,0.583198080782659,1.72182175501809,0.422047930005607,0.611681710277733,2.88190329510357,2.72044939549652
H3K27ac_TDH_some/samples/bcell/MS012702/problems/chr1:30028082-91800000,0,1,3,5,308,3.99907448235621,5.38000812990284,61771918,3859831,0,0.693147180559945,1.38629436111989,1.79175946922805,5.73334127689775,1.60925279177157,1.85316937163533,17.9389594340505,15.1661342171778,-Inf,0,1.09861228866811,1.6094379124341,5.73009978297357,1.3860629549366,1.68268988530691,17.9389594178619,15.1661339580991,,-Inf,0.0940478276166991,0.475884995327111,1.74573294470654,0.326467321768339,0.520393635192068,2.88697485148472,2.71906491303013
H3K27ac_TDH_some/samples/bcell/MS012702/problems/chr3:60000-66170270,0,1,3,6,408,4.31400979000691,5.71022761476597,66110270,4405367,0,0.693147180559945,1.38629436111989,1.94591014905531,6.0137151560428,1.67034668964057,1.90363287213195,18.0068346785299,15.2983343552932,-Inf,0,1.09861228866811,1.79175946922805,6.01126717440416,1.46186781732158,1.74225888535434,18.0068346634037,15.2983341282974,,-Inf,0.0940478276166991,0.583198080782659,1.79363557064939,0.379714945011412,0.555182481254229,2.89075138934945,2.72774394196704
H3K27ac_TDH_some/samples/bcell/MS012702/problems/chr3:93504854-194041961,0,1,3,6,316,4.36180589521041,5.79549330268049,100537107,6739450,0,0.693147180559945,1.38629436111989,1.94591014905531,5.75890177387728,1.67930083908587,1.91625964286065,18.4260374511442,15.723489025565,-Inf,0,1.09861228866811,1.79175946922805,5.75574221358691,1.47288616775457,1.75708059873914,18.4260374411976,15.7234888771849,,-Inf,0.0940478276166991,0.583198080782659,1.75019800233544,0.387223855305283,0.563653681083474,2.9137647426611,2.75515570112852
