sequenceID,min.log.lambda,max.log.lambda,possible.fp,fp,possible.fn,fn,labels,errors
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr10:18024675-38818835,-Inf,1.87833298711824,7,7,4,0,7,7
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr10:18024675-38818835,1.87833298711824,5.34118744102388,7,7,4,0,7,7
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr10:18024675-38818835,5.34118744102388,6.6198532514789,7,7,4,0,7,7
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr10:18024675-38818835,6.6198532514789,7.27430715293756,7,7,4,0,7,7
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr10:18024675-38818835,7.27430715293756,8.491782427963,7,4,4,0,7,4
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr10:18024675-38818835,8.491782427963,9.63225974938421,7,3,4,0,7,3
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr10:18024675-38818835,9.63225974938421,10.3599863974365,7,1,4,0,7,1
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr10:18024675-38818835,10.3599863974365,10.6738856693798,7,1,4,0,7,1
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr10:18024675-38818835,10.6738856693798,10.791825065888,7,1,4,0,7,1
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr10:18024675-38818835,10.791825065888,10.8554670571353,7,1,4,0,7,1
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr10:18024675-38818835,10.8554670571353,10.8723493783488,7,1,4,0,7,1
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr10:18024675-38818835,10.8723493783488,10.8847256741472,7,1,4,0,7,1
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr10:18024675-38818835,10.8847256741472,12.0780383354041,7,0,4,0,7,0
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr10:18024675-38818835,12.0780383354041,12.9714744893086,7,0,4,0,7,0
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr10:18024675-38818835,12.9714744893086,13.3866852091863,7,0,4,0,7,0
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr10:18024675-38818835,13.3866852091863,13.6626404340849,7,0,4,2,7,2
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr10:18024675-38818835,13.6626404340849,14.1379510692891,7,0,4,2,7,2
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr10:18024675-38818835,14.1379510692891,Inf,7,0,4,4,7,4
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr10:51448845-125869472,-Inf,1.85070386826012,11,11,8,0,11,11
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr10:51448845-125869472,1.85070386826012,5.40674666983646,11,11,8,0,11,11
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr10:51448845-125869472,5.40674666983646,6.71696455809918,11,11,8,0,11,11
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr10:51448845-125869472,6.71696455809918,7.40846442869365,11,10,8,0,11,10
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr10:51448845-125869472,7.40846442869365,8.76167373539469,11,8,8,0,11,8
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr10:51448845-125869472,8.76167373539469,9.73691627467021,11,3,8,0,11,3
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr10:51448845-125869472,9.73691627467021,10.2278124590527,11,1,8,0,11,1
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr10:51448845-125869472,10.2278124590527,10.3587308123933,11,1,8,0,11,1
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr10:51448845-125869472,10.3587308123933,10.3598574427217,11,1,8,0,11,1
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr10:51448845-125869472,10.3598574427217,10.3600722032465,11,1,8,0,11,1
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr10:51448845-125869472,10.3600722032465,10.3601082990152,11,1,8,0,11,1
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr10:51448845-125869472,10.3601082990152,10.3867960556866,11,0,8,0,11,0
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr10:51448845-125869472,10.3867960556866,10.4172033262367,11,0,8,0,11,0
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr10:51448845-125869472,10.4172033262367,10.4973627681269,11,0,8,0,11,0
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr10:51448845-125869472,10.4973627681269,10.8133381577827,11,0,8,0,11,0
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr10:51448845-125869472,10.8133381577827,11.4207263655646,11,0,8,0,11,0
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr10:51448845-125869472,11.4207263655646,11.8435004189839,11,0,8,0,11,0
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr10:51448845-125869472,11.8435004189839,11.9910538299412,11,0,8,0,11,0
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr10:51448845-125869472,11.9910538299412,12.0712703006084,11,0,8,0,11,0
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr10:51448845-125869472,12.0712703006084,12.1486983887695,11,0,8,0,11,0
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr10:51448845-125869472,12.1486983887695,12.1496501099667,11,0,8,0,11,0
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr10:51448845-125869472,12.1496501099667,12.1499094723244,11,0,8,2,11,2
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr10:51448845-125869472,12.1499094723244,12.5130476872644,11,0,8,2,11,2
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr10:51448845-125869472,12.5130476872644,13.9139089338186,11,0,8,7,11,7
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr10:51448845-125869472,13.9139089338186,Inf,11,0,8,8,11,8
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr11:96437584-134946516,-Inf,1.92390228969156,5,5,4,0,5,5
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr11:96437584-134946516,1.92390228969156,5.41049950275018,5,5,4,0,5,5
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr11:96437584-134946516,5.41049950275018,6.6790333198322,5,5,4,0,5,5
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr11:96437584-134946516,6.6790333198322,7.34215283031805,5,5,4,0,5,5
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr11:96437584-134946516,7.34215283031805,8.67810276315355,5,3,4,0,5,3
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr11:96437584-134946516,8.67810276315355,9.78232288894456,5,1,4,0,5,1
