sequenceID,min.log.lambda,max.log.lambda
H3K27ac_TDH_some/samples/bcell/MS009101/problems/chr1:13607162-16800000,13.3039658003857,Inf
H3K27ac_TDH_some/samples/bcell/MS009101/problems/chr1:149509645-205922707,9.10447812003173,11.0021589070424
H3K27ac_TDH_some/samples/bcell/MS009101/problems/chr1:30028082-91800000,10.2672834252527,12.1742836355147
H3K27ac_TDH_some/samples/bcell/MS009101/problems/chr3:60000-66170270,8.49673691593302,8.6766349153894
H3K27ac_TDH_some/samples/bcell/MS009101/problems/chr3:93504854-194041961,11.9539844307454,Inf
H3K27ac_TDH_some/samples/bcell/MS012702/problems/chr1:13607162-16800000,13.251147605039,Inf
H3K27ac_TDH_some/samples/bcell/MS012702/problems/chr1:149509645-205922707,8.88886540203109,10.8632526685379
H3K27ac_TDH_some/samples/bcell/MS012702/problems/chr1:30028082-91800000,9.94438016041508,12.2080686982681
H3K27ac_TDH_some/samples/bcell/MS012702/problems/chr3:60000-66170270,7.564806915997,8.30356135772672
H3K27ac_TDH_some/samples/bcell/MS012702/problems/chr3:93504854-194041961,11.6513541495239,Inf
H3K27ac_TDH_some/samples/bcell/MS012703/problems/chr1:13607162-16800000,8.30739638751928,12.7612085799213
H3K27ac_TDH_some/samples/bcell/MS012703/problems/chr1:149509645-205922707,8.77562046982362,10.794574676621
H3K27ac_TDH_some/samples/bcell/MS012703/problems/chr1:30028082-91800000,8.86335985514113,11.814446810914
H3K27ac_TDH_some/samples/bcell/MS012703/problems/chr3:60000-66170270,7.21161461270271,8.20687357132893
H3K27ac_TDH_some/samples/bcell/MS012703/problems/chr3:93504854-194041961,7.64066209031131,9.68621663355201
H3K27ac_TDH_some/samples/bcell/MS026601/problems/chr1:13607162-16800000,8.97218749165345,Inf
H3K27ac_TDH_some/samples/bcell/MS026601/problems/chr1:149509645-205922707,10.4173034760711,Inf
H3K27ac_TDH_some/samples/bcell/MS026601/problems/chr1:30028082-91800000,14.3924186618066,Inf
H3K27ac_TDH_some/samples/bcell/MS026601/problems/chr3:60000-66170270,7.34662885874553,7.83226940957128
H3K27ac_TDH_some/samples/bcell/MS026601/problems/chr3:93504854-194041961,13.4851512141499,Inf
H3K27ac_TDH_some/samples/bcell/MS026701/problems/chr1:13607162-16800000,9.51759080373553,Inf
H3K27ac_TDH_some/samples/bcell/MS026701/problems/chr1:149509645-205922707,9.77037924676489,9.98165780300296
H3K27ac_TDH_some/samples/bcell/MS026701/problems/chr1:30028082-91800000,9.31150303236707,Inf
H3K27ac_TDH_some/samples/bcell/MS026701/problems/chr3:60000-66170270,9.37451971663216,9.82462017863847
H3K27ac_TDH_some/samples/bcell/MS026701/problems/chr3:93504854-194041961,9.03927442937761,Inf
H3K27ac_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr1:13607162-16800000,8.77446346667941,10.585735468591
H3K27ac_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr1:149509645-205922707,8.71058056362715,11.208823802851
H3K27ac_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr1:30028082-91800000,9.35313271898715,10.8475725189709
H3K27ac_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr3:60000-66170270,8.60219306791603,10.9722088598919
H3K27ac_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr3:93504854-194041961,8.28149934341921,12.6639763141099
H3K27ac_TDH_some/samples/brain/CEMT0023.gDNA/problems/chr1:13607162-16800000,7.94300221032125,10.6822390517033
H3K27ac_TDH_some/samples/brain/CEMT0023.gDNA/problems/chr1:149509645-205922707,8.74484839608055,10.5200072711756
H3K27ac_TDH_some/samples/brain/CEMT0023.gDNA/problems/chr1:30028082-91800000,9.40600033942811,11.0136877108616
H3K27ac_TDH_some/samples/brain/CEMT0023.gDNA/problems/chr3:60000-66170270,8.84289191043888,9.38269164673666
H3K27ac_TDH_some/samples/brain/CEMT0023.gDNA/problems/chr3:93504854-194041961,9.15369637022179,12.5840156705048
H3K27ac_TDH_some/samples/hematopoietic/CEMT0031.gDNA/problems/chr1:13607162-16800000,14.0609843128317,Inf
H3K27ac_TDH_some/samples/hematopoietic/CEMT0031.gDNA/problems/chr1:149509645-205922707,9.46533668966948,10.9236034839039
H3K27ac_TDH_some/samples/hematopoietic/CEMT0031.gDNA/problems/chr1:30028082-91800000,14.0251200115517,Inf
H3K27ac_TDH_some/samples/hematopoietic/CEMT0031.gDNA/problems/chr3:60000-66170270,9.09979632484861,9.94323572167544
H3K27ac_TDH_some/samples/hematopoietic/CEMT0031.gDNA/problems/chr3:93504854-194041961,9.93334048953581,12.9979584958873
H3K27ac_TDH_some/samples/hematopoietic/CEMT0032.gDNA/problems/chr1:13607162-16800000,8.43005648584031,9.62295183606977
H3K27ac_TDH_some/samples/hematopoietic/CEMT0032.gDNA/problems/chr1:149509645-205922707,9.52650149123505,11.1346390099471
H3K27ac_TDH_some/samples/hematopoietic/CEMT0032.gDNA/problems/chr1:30028082-91800000,10.7694176871245,13.14433372526
H3K27ac_TDH_some/samples/hematopoietic/CEMT0032.gDNA/problems/chr3:60000-66170270,9.24602383370949,11.0050623273342
H3K27ac_TDH_some/samples/hematopoietic/CEMT0032.gDNA/problems/chr3:93504854-194041961,9.4143709407453,13.2259239004798
H3K27ac_TDH_some/samples/ips/MS032901/problems/chr1:13607162-16800000,8.36929801378414,10.1026269376143
H3K27ac_TDH_some/samples/ips/MS032901/problems/chr1:149509645-205922707,7.83426208116652,9.9226176606579
H3K27ac_TDH_some/samples/ips/MS032901/problems/chr1:30028082-91800000,8.32145546839827,10.6009905756656
H3K27ac_TDH_some/samples/ips/MS032901/problems/chr3:60000-66170270,8.1841473628944,9.039648454875
H3K27ac_TDH_some/samples/ips/MS032901/problems/chr3:93504854-194041961,8.91963605526079,10.5626936616867
H3K27ac_TDH_some/samples/ips/MS033001/problems/chr1:13607162-16800000,7.7867135921049,8.95992574036591
H3K27ac_TDH_some/samples/ips/MS033001/problems/chr1:149509645-205922707,7.22189700034675,8.93729396318802
H3K27ac_TDH_some/samples/ips/MS033001/problems/chr1:30028082-91800000,9.69386751748103,9.9057954214949
H3K27ac_TDH_some/samples/ips/MS033001/problems/chr3:60000-66170270,7.57923320731435,7.93534425805787
H3K27ac_TDH_some/samples/ips/MS033001/problems/chr3:93504854-194041961,9.70922569415263,9.89105928062295
H3K27ac_TDH_some/samples/ips/MS033101/problems/chr1:13607162-16800000,7.55798153071453,7.63880939222396
H3K27ac_TDH_some/samples/ips/MS033101/problems/chr1:149509645-205922707,6.93451786992344,9.33873134170717
