sequenceID,min.log.lambda,max.log.lambda,possible.fp,fp,possible.fn,fn,labels,errors
H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr15:77912000-82829645,-Inf,5.96228323564171,3,3,2,0,3,3
H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr15:77912000-82829645,5.96228323564171,9.53813311119761,3,3,2,0,3,3
H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr15:77912000-82829645,9.53813311119761,11.2982089651817,3,3,2,0,3,3
H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr15:77912000-82829645,11.2982089651817,12.226559577607,3,2,2,0,3,2
H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr15:77912000-82829645,12.226559577607,12.9600880811914,3,1,2,0,3,1
H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr15:77912000-82829645,12.9600880811914,13.4621332275022,3,1,2,0,3,1
H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr15:77912000-82829645,13.4621332275022,13.5438796764789,3,1,2,0,3,1
H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr15:77912000-82829645,13.5438796764789,13.6622247013595,3,0,2,0,3,0
H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr15:77912000-82829645,13.6622247013595,13.8779422749164,3,0,2,0,3,0
H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr15:77912000-82829645,13.8779422749164,14.1521683154897,3,0,2,0,3,0
H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr15:77912000-82829645,14.1521683154897,14.5798155394341,3,0,2,0,3,0
H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr15:77912000-82829645,14.5798155394341,14.6659521888796,3,0,2,0,3,0
H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr15:77912000-82829645,14.6659521888796,14.6777437647693,3,0,2,0,3,0
H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr15:77912000-82829645,14.6777437647693,14.7472246748194,3,0,2,1,3,1
H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr15:77912000-82829645,14.7472246748194,15.1400777243454,3,0,2,1,3,1
