sequenceID,min.log.lambda,max.log.lambda,possible.fp,fp,possible.fn,fn,labels,errors
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr14:19050000-107289540,-Inf,1.61718920007487,7,7,6,0,7,7
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr14:19050000-107289540,1.61718920007487,5.30980377130193,7,7,6,0,7,7
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr14:19050000-107289540,5.30980377130193,6.7361605845845,7,7,6,0,7,7
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr14:19050000-107289540,6.7361605845845,7.41164525809628,7,7,6,0,7,7
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr14:19050000-107289540,7.41164525809628,8.31579356884581,7,4,6,0,7,4
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr14:19050000-107289540,8.31579356884581,8.58572427819909,7,1,6,0,7,1
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr14:19050000-107289540,8.58572427819909,8.66512779632071,7,1,6,0,7,1
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr14:19050000-107289540,8.66512779632071,8.67194728498522,7,1,6,0,7,1
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr14:19050000-107289540,8.67194728498522,8.67235089801823,7,0,6,0,7,0
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr14:19050000-107289540,8.67235089801823,8.67421120012794,7,0,6,0,7,0
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr14:19050000-107289540,8.67421120012794,8.67509820463194,7,0,6,0,7,0
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr14:19050000-107289540,8.67509820463194,8.68232269527884,7,0,6,0,7,0
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr14:19050000-107289540,8.68232269527884,8.70794907724879,7,0,6,0,7,0
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr14:19050000-107289540,8.70794907724879,8.75806373704564,7,0,6,0,7,0
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr14:19050000-107289540,8.75806373704564,8.95069741118784,7,0,6,0,7,0
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr14:19050000-107289540,8.95069741118784,9.46812850480448,7,0,6,0,7,0
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr14:19050000-107289540,9.46812850480448,10.1348089436723,7,0,6,0,7,0
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr14:19050000-107289540,10.1348089436723,10.3531234073341,7,0,6,0,7,0
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr14:19050000-107289540,10.3531234073341,10.3636090852163,7,0,6,2,7,2
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr14:19050000-107289540,10.3636090852163,10.3713097532476,7,0,6,2,7,2
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr14:19050000-107289540,10.3713097532476,10.4029533055031,7,0,6,2,7,2
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr14:19050000-107289540,10.4029533055031,10.4402900678446,7,0,6,2,7,2
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr14:19050000-107289540,10.4402900678446,10.549517108672,7,0,6,2,7,2
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr14:19050000-107289540,10.549517108672,10.6850110486282,7,0,6,2,7,2
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr14:19050000-107289540,10.6850110486282,11.7940724377453,7,0,6,2,7,2
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr14:19050000-107289540,11.7940724377453,14.0362242887811,7,0,6,4,7,4
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr14:19050000-107289540,14.0362242887811,Inf,7,0,6,6,7,6
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr15:29209443-77800000,-Inf,1.36246487646798,7,7,6,0,7,7
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr15:29209443-77800000,1.36246487646798,5.13551977365195,7,7,6,0,7,7
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr15:29209443-77800000,5.13551977365195,6.63290988314526,7,7,6,0,7,7
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr15:29209443-77800000,6.63290988314526,7.32356283734109,7,7,6,0,7,7
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr15:29209443-77800000,7.32356283734109,8.27287982088672,7,4,6,0,7,4
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr15:29209443-77800000,8.27287982088672,8.86871942206505,7,1,6,0,7,1
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr15:29209443-77800000,8.86871942206505,9.11374549802558,7,1,6,0,7,1
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr15:29209443-77800000,9.11374549802558,9.25976533067225,7,1,6,0,7,1
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr15:29209443-77800000,9.25976533067225,9.30206381302489,7,1,6,0,7,1
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr15:29209443-77800000,9.30206381302489,9.30640122995167,7,1,6,0,7,1
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr15:29209443-77800000,9.30640122995167,9.31017476715744,7,1,6,0,7,1
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr15:29209443-77800000,9.31017476715744,9.31756866359964,7,0,6,0,7,0
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr15:29209443-77800000,9.31756866359964,9.32759730779969,7,0,6,0,7,0
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr15:29209443-77800000,9.32759730779969,9.35461918070894,7,0,6,0,7,0
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr15:29209443-77800000,9.35461918070894,9.76198573813658,7,0,6,0,7,0
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr15:29209443-77800000,9.76198573813658,10.2738900982449,7,0,6,0,7,0
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr15:29209443-77800000,10.2738900982449,10.2932829633891,7,0,6,0,7,0
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr15:29209443-77800000,10.2932829633891,10.2943846749541,7,0,6,0,7,0
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr15:29209443-77800000,10.2943846749541,10.3342159408281,7,0,6,1,7,1
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr15:29209443-77800000,10.3342159408281,10.4061249200125,7,0,6,1,7,1
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr15:29209443-77800000,10.4061249200125,10.6107267871418,7,0,6,1,7,1
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr15:29209443-77800000,10.6107267871418,10.9201824872937,7,0,6,1,7,1
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr15:29209443-77800000,10.9201824872937,11.5841016809955,7,0,6,3,7,3
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr15:29209443-77800000,11.5841016809955,13.1153774598215,7,0,6,5,7,5
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr15:29209443-77800000,13.1153774598215,Inf,7,0,6,6,7,6
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr16:60000-8636921,-Inf,1.62771665999045,3,3,0,0,3,3
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr16:60000-8636921,1.62771665999045,5.61451614490819,3,3,0,0,3,3
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr16:60000-8636921,5.61451614490819,7.57305253443962,3,3,0,0,3,3
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr16:60000-8636921,7.57305253443962,9.12407320948346,3,2,0,0,3,2
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr16:60000-8636921,9.12407320948346,9.53003001916468,3,2,0,0,3,2
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr16:60000-8636921,9.53003001916468,9.71331124443173,3,2,0,0,3,2
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr16:60000-8636921,9.71331124443173,9.80650601633001,3,2,0,0,3,2
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr16:60000-8636921,9.80650601633001,9.85105256462765,3,2,0,0,3,2
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr16:60000-8636921,9.85105256462765,9.86940076056329,3,2,0,0,3,2
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr16:60000-8636921,9.86940076056329,9.88995644657236,3,0,0,0,3,0
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr16:60000-8636921,9.88995644657236,10.6108292887273,3,0,0,0,3,0
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr16:60000-8636921,10.6108292887273,12.8905151800274,3,0,0,0,3,0
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr16:60000-8636921,12.8905151800274,Inf,3,0,0,0,3,0
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr16:8686921-32000000,-Inf,-1.55535772729326,2,2,2,0,2,2
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr16:8686921-32000000,-1.55535772729326,0.698202651995133,2,2,2,0,2,2
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr16:8686921-32000000,0.698202651995133,2.83404535287143,2,2,2,0,2,2
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr16:8686921-32000000,2.83404535287143,5.46949398862715,2,2,2,0,2,2
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr16:8686921-32000000,5.46949398862715,7.03625629080021,2,2,2,0,2,2
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr16:8686921-32000000,7.03625629080021,7.88185066655281,2,2,2,0,2,2
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr16:8686921-32000000,7.88185066655281,9.37252145202999,2,1,2,0,2,1
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr16:8686921-32000000,9.37252145202999,10.1549572153138,2,1,2,0,2,1
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr16:8686921-32000000,10.1549572153138,10.2342475646912,2,1,2,0,2,1
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr16:8686921-32000000,10.2342475646912,10.2478261865852,2,1,2,0,2,1
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr16:8686921-32000000,10.2478261865852,10.2887420973779,2,0,2,0,2,0
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr16:8686921-32000000,10.2887420973779,10.3473842627685,2,0,2,0,2,0
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr16:8686921-32000000,10.3473842627685,10.6225591217063,2,0,2,0,2,0
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr16:8686921-32000000,10.6225591217063,11.2257718468046,2,0,2,0,2,0
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr16:8686921-32000000,11.2257718468046,12.2083621851158,2,0,2,0,2,0
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr16:8686921-32000000,12.2083621851158,13.3673409211523,2,0,2,0,2,0
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr16:8686921-32000000,13.3673409211523,13.8888127789545,2,0,2,0,2,0
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr16:8686921-32000000,13.8888127789545,13.9482562779317,2,0,2,2,2,2
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr16:8686921-32000000,13.9482562779317,14.40458311406,2,0,2,2,2,2
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr16:8686921-32000000,14.40458311406,Inf,2,0,2,2,2,2
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr21:43005559-44632664,-Inf,1.30815929392459,6,6,5,0,6,6
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr21:43005559-44632664,1.30815929392459,5.18104006621175,6,6,5,0,6,6
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr21:43005559-44632664,5.18104006621175,6.70819901802631,6,6,5,0,6,6
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr21:43005559-44632664,6.70819901802631,7.42766049426948,6,6,5,0,6,6
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr21:43005559-44632664,7.42766049426948,8.27794193731752,6,3,5,0,6,3
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr21:43005559-44632664,8.27794193731752,8.61641841301602,6,1,5,0,6,1
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr21:43005559-44632664,8.61641841301602,8.70724314993268,6,1,5,0,6,1
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr21:43005559-44632664,8.70724314993268,8.75727017351632,6,0,5,0,6,0
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr21:43005559-44632664,8.75727017351632,8.82369701037909,6,0,5,0,6,0
H3K36me3_TDH_other/samples/kidney/McGill0023/problems/chr21:43005559-44632664,8.82369701037909,9.38292492512484,6,0,5,0,6,0
