sequenceID,min.log.lambda,max.log.lambda,possible.fp,fp,possible.fn,fn,labels,errors
H3K36me3_TDH_ENCODE/samples/aorta/ENCFF131OQD/problems/chr5:100000-17500000,-Inf,2.59078029249969,2,2,1,0,2,2
H3K36me3_TDH_ENCODE/samples/aorta/ENCFF131OQD/problems/chr5:100000-17500000,2.59078029249969,4.7593432854576,2,2,1,0,2,2
H3K36me3_TDH_ENCODE/samples/aorta/ENCFF131OQD/problems/chr5:100000-17500000,4.7593432854576,5.495868583446,2,2,1,0,2,2
H3K36me3_TDH_ENCODE/samples/aorta/ENCFF131OQD/problems/chr5:100000-17500000,5.495868583446,6.08078339634738,2,2,1,0,2,2
H3K36me3_TDH_ENCODE/samples/aorta/ENCFF131OQD/problems/chr5:100000-17500000,6.08078339634738,6.74358329853507,2,2,1,0,2,2
H3K36me3_TDH_ENCODE/samples/aorta/ENCFF131OQD/problems/chr5:100000-17500000,6.74358329853507,7.07851335603295,2,1,1,0,2,1
H3K36me3_TDH_ENCODE/samples/aorta/ENCFF131OQD/problems/chr5:100000-17500000,7.07851335603295,7.08226449118402,2,1,1,0,2,1
H3K36me3_TDH_ENCODE/samples/aorta/ENCFF131OQD/problems/chr5:100000-17500000,7.08226449118402,7.08539446875208,2,0,1,0,2,0
H3K36me3_TDH_ENCODE/samples/aorta/ENCFF131OQD/problems/chr5:100000-17500000,7.08539446875208,7.09414228807302,2,0,1,0,2,0
H3K36me3_TDH_ENCODE/samples/aorta/ENCFF131OQD/problems/chr5:100000-17500000,7.09414228807302,7.11711501497997,2,0,1,0,2,0
H3K36me3_TDH_ENCODE/samples/aorta/ENCFF131OQD/problems/chr5:100000-17500000,7.11711501497997,7.15498844532517,2,0,1,0,2,0
H3K36me3_TDH_ENCODE/samples/aorta/ENCFF131OQD/problems/chr5:100000-17500000,7.15498844532517,7.226596952623,2,0,1,0,2,0
H3K36me3_TDH_ENCODE/samples/aorta/ENCFF131OQD/problems/chr5:100000-17500000,7.226596952623,7.36776312113095,2,0,1,0,2,0
H3K36me3_TDH_ENCODE/samples/aorta/ENCFF131OQD/problems/chr5:100000-17500000,7.36776312113095,7.74337103787562,2,0,1,0,2,0
H3K36me3_TDH_ENCODE/samples/aorta/ENCFF131OQD/problems/chr5:100000-17500000,7.74337103787562,8.06380089634092,2,0,1,0,2,0
H3K36me3_TDH_ENCODE/samples/aorta/ENCFF131OQD/problems/chr5:100000-17500000,8.06380089634092,8.23454874091986,2,0,1,0,2,0
H3K36me3_TDH_ENCODE/samples/aorta/ENCFF131OQD/problems/chr5:100000-17500000,8.23454874091986,8.2931461200005,2,0,1,0,2,0
H3K36me3_TDH_ENCODE/samples/aorta/ENCFF131OQD/problems/chr5:100000-17500000,8.2931461200005,8.29562070031509,2,0,1,1,2,1
H3K36me3_TDH_ENCODE/samples/aorta/ENCFF131OQD/problems/chr5:100000-17500000,8.29562070031509,8.3247606879381,2,0,1,1,2,1
H3K36me3_TDH_ENCODE/samples/aorta/ENCFF131OQD/problems/chr5:100000-17500000,8.3247606879381,8.54831899888631,2,0,1,1,2,1
H3K36me3_TDH_ENCODE/samples/aorta/ENCFF131OQD/problems/chr5:100000-17500000,8.54831899888631,9.27619828283121,2,0,1,1,2,1
H3K36me3_TDH_ENCODE/samples/aorta/ENCFF131OQD/problems/chr5:100000-17500000,9.27619828283121,10.4207135156326,2,0,1,1,2,1
H3K36me3_TDH_ENCODE/samples/aorta/ENCFF131OQD/problems/chr5:100000-17500000,10.4207135156326,Inf,2,0,1,1,2,1
H3K36me3_TDH_ENCODE/samples/aorta/ENCFF131OQD/problems/chr6:60000-58087659,-Inf,2.47156399388414,2,2,1,0,2,2
H3K36me3_TDH_ENCODE/samples/aorta/ENCFF131OQD/problems/chr6:60000-58087659,2.47156399388414,4.73113280374755,2,2,1,0,2,2
H3K36me3_TDH_ENCODE/samples/aorta/ENCFF131OQD/problems/chr6:60000-58087659,4.73113280374755,5.53622676040337,2,2,1,0,2,2
H3K36me3_TDH_ENCODE/samples/aorta/ENCFF131OQD/problems/chr6:60000-58087659,5.53622676040337,6.03969648532281,2,2,1,0,2,2
H3K36me3_TDH_ENCODE/samples/aorta/ENCFF131OQD/problems/chr6:60000-58087659,6.03969648532281,6.23347183785981,2,1,1,0,2,1
H3K36me3_TDH_ENCODE/samples/aorta/ENCFF131OQD/problems/chr6:60000-58087659,6.23347183785981,6.28788844748916,2,1,1,0,2,1
H3K36me3_TDH_ENCODE/samples/aorta/ENCFF131OQD/problems/chr6:60000-58087659,6.28788844748916,6.29291087585718,2,1,1,0,2,1
H3K36me3_TDH_ENCODE/samples/aorta/ENCFF131OQD/problems/chr6:60000-58087659,6.29291087585718,6.29474153515023,2,1,1,0,2,1
H3K36me3_TDH_ENCODE/samples/aorta/ENCFF131OQD/problems/chr6:60000-58087659,6.29474153515023,6.29504098248842,2,1,1,0,2,1
H3K36me3_TDH_ENCODE/samples/aorta/ENCFF131OQD/problems/chr6:60000-58087659,6.29504098248842,6.29555905185508,2,0,1,0,2,0
H3K36me3_TDH_ENCODE/samples/aorta/ENCFF131OQD/problems/chr6:60000-58087659,6.29555905185508,6.29623239579849,2,0,1,0,2,0
H3K36me3_TDH_ENCODE/samples/aorta/ENCFF131OQD/problems/chr6:60000-58087659,6.29623239579849,6.29786802807432,2,0,1,0,2,0
H3K36me3_TDH_ENCODE/samples/aorta/ENCFF131OQD/problems/chr6:60000-58087659,6.29786802807432,6.30552501936301,2,0,1,0,2,0
H3K36me3_TDH_ENCODE/samples/aorta/ENCFF131OQD/problems/chr6:60000-58087659,6.30552501936301,6.32411537217797,2,0,1,0,2,0
