sequenceID,quartile.0%,quartile.25%,quartile.50%,quartile.75%,quartile.100%,mean,sd,bases,data,log+1.quartile.0%,log+1.quartile.25%,log+1.quartile.50%,log+1.quartile.75%,log+1.quartile.100%,log+1.mean,log+1.sd,log+1.bases,log+1.data,log.quartile.0%,log.quartile.25%,log.quartile.50%,log.quartile.75%,log.quartile.100%,log.mean,log.sd,log.bases,log.data,log.log.quartile.0%,log.log.quartile.25%,log.log.quartile.50%,log.log.quartile.75%,log.log.quartile.100%,log.log.mean,log.log.sd,log.log.bases,log.log.data
H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr15:77912000-82829645,0,25,50,119,1661,81.1599657966364,95.8814393806284,4917645,110675,0,3.25809653802148,3.93182563272433,4.78749174278205,7.41577697541539,4.40866814931832,4.57348795649025,15.4083405186877,11.6143622930237,-Inf,3.2188758248682,3.91202300542815,4.77912349311153,7.41517510961329,4.39642209352623,4.56311242176711,15.4083403153383,11.6143532576003,,1.16903217588706,1.36405463288845,1.56425716004716,2.00352859090287,1.48079104956761,1.51800493932905,2.73490894173672,2.45224168301909
H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr1:148734147-148954460,0,75,204,488,5406,360.449791886997,478.787294173697,220313,7224,0,4.33073334028633,5.32300997913841,6.19236248947487,8.595449689382,5.89012314367355,6.17334286854953,12.3028090804762,8.88530251298063,-Inf,4.31748811353631,5.31811999384422,6.19031540585315,8.59526472683639,5.88735267348046,6.17125643651821,12.3028045414897,8.88516409509682,,1.46267377794546,1.67111985628275,1.82298603949421,2.15121143845781,1.77280643541678,1.81990245357491,2.50982724789093,2.18438293021455
H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr1:149004460-149459645,0,0,50,125,4505,89.8247965113086,142.615311572093,455185,9406,0,0,3.93182563272433,4.83628190695148,8.41316512099219,4.50893233765674,4.96713827747652,13.0284614056095,9.14920937197195,-Inf,-Inf,3.91202300542815,4.8283137373023,8.41294317004244,4.49786106760663,4.96015087649434,13.028459208703,9.14910306250499,,,1.36405463288845,1.57449728399522,2.12977137352892,1.50360196546708,1.60143615892225,2.56713613462078,2.21365584852683
H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr1:149509645-205922707,0,14,43,91,139978,75.7215988382265,271.320235309573,56413062,1140474,0,2.70805020110221,3.78418963391826,4.52178857704904,11.8492476903403,4.34018327027235,5.60697870947678,17.8482113031252,13.9469554002559,-Inf,2.63905732961526,3.76120011569356,4.51085950651685,11.8492405463861,4.3270634412559,5.60329980335442,17.8482112853988,13.9469545234279,,0.970421781277365,1.32473808618053,1.50648771329857,2.47226377661479,1.46488912285375,1.72335567480014,2.88190329510357,2.63526117070069
H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr20:34947085-61091437,0,25,75,175,55857,134.958165075195,222.384319564788,26144352,693889,0,3.25809653802148,4.33073334028633,5.17048399503815,10.930568035063,4.91234722867326,5.40889369421996,17.0791437786927,13.4500687254853,-Inf,3.2188758248682,4.31748811353631,5.16478597392351,10.9305501323642,4.90496484208123,5.40440705433679,17.0791437404435,13.4500672843337,,1.16903217588706,1.46267377794546,1.64186366394411,2.39156163325157,1.59024792522023,1.68721474189791,2.83785805481122,2.59898410858803
H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr4:9324642-31820917,0,0,25,50,124693,44.0363149010225,417.26929409589,22496275,355202,0,0,3.25809653802148,3.93182563272433,11.7336180150334,3.80746916212317,6.03612546933706,16.9288603423651,12.7804447360104,-Inf,-Inf,3.2188758248682,3.91202300542815,11.7336099953692,3.7850146321732,6.03373180256546,16.9288602979133,12.7804419207149,,,1.16903217588706,1.36405463288845,2.46245737280874,1.3310497527137,1.79736569204693,2.82901987538604,2.54791602743722
H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr7:282484-50370631,0,25,50,125,424983,107.277768231274,771.624197108398,50088147,1203272,0,3.25809653802148,3.93182563272433,4.83628190695148,12.9598068001391,4.68469985344461,6.64979276880517,17.7292949712025,14.0005559018798,-Inf,3.2188758248682,3.91202300542815,4.8283137373023,12.9598044471065,4.67542143554371,6.64849764019306,17.7292949512377,14.0005550708129,,1.16903217588706,1.36405463288845,1.57449728399522,2.56185260185246,1.54231930531805,1.89439091037631,2.87521835343179,2.63909697674451
H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr8:7524649-12091854,0,26,112,250,3763,188.962642360043,262.623862364941,4567205,129453,0,3.29583686600433,4.72738781871234,5.52545293913178,8.23323750070527,5.24682743367074,5.57452332343616,15.3344121973465,11.7710808846637,-Inf,3.25809653802148,4.71849887129509,5.52146091786225,8.23297179059344,5.24154933605176,5.57072282737069,15.3344119783942,11.7710731598822,,1.18114314080946,1.55149071327081,1.708642484306,2.10814704192799,1.6566171294488,1.71752481704037,2.73009945176381,2.46564509467585
H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr9:10000-39663686,0,0,25,75,2722,59.4351802503303,100.761357386647,39653686,706335,0,0,3.25809653802148,4.33073334028633,7.90948949267376,4.10157138985567,4.62263043860119,17.4956944903726,13.4678463239409,-Inf,-Inf,3.2188758248682,4.31748811353631,7.90912218321141,4.08488631115837,4.61275492287687,17.4956944651543,13.4678449081831,,,1.16903217588706,1.46267377794546,2.06801680004754,1.4072938971189,1.52882527567182,2.86195482009637,2.6003049856536
H3K27me3_RL_cancer/samples/BT245/C24-Rx/problems/chr15:77912000-82829645,0,0,25,79,5280,81.2080782569706,204.401048057602,4917645,88526,0,0,3.25809653802148,4.38202663467388,8.57187075270693,4.40925357286565,5.32496440000141,15.4083405186877,11.3910628692129,-Inf,-Inf,3.2188758248682,4.36944785246702,8.57168137670031,4.39701472814252,5.32008398579978,15.4083403153383,11.3910515731603,,,1.16903217588706,1.47463665157484,2.14846390668022,1.48092583978199,1.67148909003341,2.73490894173672,2.43282809744333
