sequenceID,fold
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr10:18024675-38818835,2
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr10:51448845-125869472,1
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr11:96437584-134946516,3
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr12:37856694-109373470,4
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr12:7239876-34856694,2
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr13:19020000-86760324,2
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr14:19000000-107289540,4
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr15:29209443-82829645,2
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr16:46385801-88389383,3
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr17:34725848-62410760,3
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr17:62460760-77546461,4
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr18:18510898-52059136,3
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr1:3995268-13052998,2
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr2:21178113-87668206,1
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr3:60000-66170270,4
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr4:75452279-191044276,3
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr6:95830543-157559467,1
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr7:100606043-130154523,1
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr8:86726451-142766515,4
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr9:92678796-133073060,4
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr10:18024675-38818835,2
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr10:51448845-125869472,1
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr11:96437584-134946516,3
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr12:37856694-109373470,4
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr12:7239876-34856694,2
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr13:19020000-86760324,2
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr14:19000000-107289540,4
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr15:29209443-82829645,2
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr16:46385801-88389383,3
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr17:34725848-62410760,3
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr17:62460760-77546461,4
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr18:18510898-52059136,3
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr1:3995268-13052998,2
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr2:21178113-87668206,1
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr3:60000-66170270,4
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr4:75452279-191044276,3
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr6:95830543-157559467,1
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr7:100606043-130154523,1
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr8:86726451-142766515,4
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr9:92678796-133073060,4
H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr10:18024675-38818835,2
H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr10:51448845-125869472,1
H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr11:96437584-134946516,3
H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr12:37856694-109373470,4
H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr12:7239876-34856694,2
H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr13:19020000-86760324,2
H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr14:19000000-107289540,4
H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr15:29209443-82829645,2
H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr16:46385801-88389383,3
H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr17:34725848-62410760,3
H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr17:62460760-77546461,4
H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr18:18510898-52059136,3
H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr1:3995268-13052998,2
H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr2:21178113-87668206,1
H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr3:60000-66170270,4
H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr4:75452279-191044276,3
H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr6:95830543-157559467,1
H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr7:100606043-130154523,1
H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr8:86726451-142766515,4
H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr9:92678796-133073060,4
H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr10:18024675-38818835,2
H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr10:51448845-125869472,1
H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr11:96437584-134946516,3
H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr12:37856694-109373470,4
H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr12:7239876-34856694,2
H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr13:19020000-86760324,2
H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr14:19000000-107289540,4
H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr15:29209443-82829645,2
H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr16:46385801-88389383,3
H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr17:34725848-62410760,3
H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr17:62460760-77546461,4
H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr18:18510898-52059136,3
H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr1:3995268-13052998,2
H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr2:21178113-87668206,1
H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr3:60000-66170270,4
H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr4:75452279-191044276,3
H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr6:95830543-157559467,1
H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr7:100606043-130154523,1
H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr8:86726451-142766515,4
H3K36me3_AM_immune/samples/monocyte/McGill0079/problems/chr9:92678796-133073060,4
H3K36me3_AM_immune/samples/monocyte/McGill0101/problems/chr10:18024675-38818835,2
H3K36me3_AM_immune/samples/monocyte/McGill0101/problems/chr10:51448845-125869472,1
H3K36me3_AM_immune/samples/monocyte/McGill0101/problems/chr11:96437584-134946516,3
H3K36me3_AM_immune/samples/monocyte/McGill0101/problems/chr12:37856694-109373470,4
H3K36me3_AM_immune/samples/monocyte/McGill0101/problems/chr12:7239876-34856694,2
H3K36me3_AM_immune/samples/monocyte/McGill0101/problems/chr13:19020000-86760324,2
H3K36me3_AM_immune/samples/monocyte/McGill0101/problems/chr14:19000000-107289540,4
H3K36me3_AM_immune/samples/monocyte/McGill0101/problems/chr15:29209443-82829645,2
