sequenceID,min.log.lambda,max.log.lambda
H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr15:77912000-82829645,13.5438796764795,14.6777437647678
H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr1:148734147-148954460,13.8820437282126,15.5743116909277
H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr1:149004460-149459645,12.5998354003815,12.8177457919077
H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr1:149509645-205922707,14.3529432972498,Inf
H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr20:34947085-61091437,18.5004257588586,Inf
H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr4:9324642-31820917,14.3951963983481,18.2659999858208
H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr7:282484-50370631,14.6939365998806,16.3830316328263
H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr8:7524649-12091854,17.5633378519952,Inf
H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr9:10000-39663686,12.4530333889634,15.3304582481283
H3K27me3_RL_cancer/samples/BT245/C24-Rx/problems/chr15:77912000-82829645,14.2594193861757,17.4460953268493
H3K27me3_RL_cancer/samples/BT245/C24-Rx/problems/chr1:148734147-148954460,15.78531290406,18.7149796809126
H3K27me3_RL_cancer/samples/BT245/C24-Rx/problems/chr1:149004460-149459645,12.5098291365328,15.7174217321717
H3K27me3_RL_cancer/samples/BT245/C24-Rx/problems/chr1:149509645-205922707,12.6711981492491,Inf
H3K27me3_RL_cancer/samples/BT245/C24-Rx/problems/chr20:34947085-61091437,15.3635397452013,17.8124215619776
H3K27me3_RL_cancer/samples/BT245/C24-Rx/problems/chr4:9324642-31820917,14.6343187454802,20.0029764930269
H3K27me3_RL_cancer/samples/BT245/C24-Rx/problems/chr7:282484-50370631,15.3368674556555,17.1145811226699
H3K27me3_RL_cancer/samples/BT245/C24-Rx/problems/chr8:7524649-12091854,19.1991857216202,Inf
H3K27me3_RL_cancer/samples/BT245/C24-Rx/problems/chr9:10000-39663686,12.3587775010648,15.548673301691
H3K27me3_RL_cancer/samples/BT245/p6/problems/chr15:77912000-82829645,13.7767107658958,16.6129556839137
H3K27me3_RL_cancer/samples/BT245/p6/problems/chr1:148734147-148954460,15.3233858554444,17.5648971015367
H3K27me3_RL_cancer/samples/BT245/p6/problems/chr1:149004460-149459645,13.6562091151371,13.7229692352851
H3K27me3_RL_cancer/samples/BT245/p6/problems/chr1:149509645-205922707,12.8875472381155,Inf
H3K27me3_RL_cancer/samples/BT245/p6/problems/chr20:34947085-61091437,15.5482394450426,16.0568859657837
H3K27me3_RL_cancer/samples/BT245/p6/problems/chr4:9324642-31820917,15.206162884622,15.6985504363112
H3K27me3_RL_cancer/samples/BT245/p6/problems/chr7:282484-50370631,14.3940376139622,15.4094988381032
H3K27me3_RL_cancer/samples/BT245/p6/problems/chr8:7524649-12091854,17.8537818007374,Inf
H3K27me3_RL_cancer/samples/BT245/p6/problems/chr9:10000-39663686,12.0466286970593,14.8343740582233
H3K27me3_RL_cancer/samples/BT416/C11-Rx/problems/chr15:77912000-82829645,13.1832159660865,16.5673569574297
H3K27me3_RL_cancer/samples/BT416/C11-Rx/problems/chr1:148734147-148954460,14.2363050017566,18.2905839168931
H3K27me3_RL_cancer/samples/BT416/C11-Rx/problems/chr1:149004460-149459645,13.1785524036045,15.854509323442
H3K27me3_RL_cancer/samples/BT416/C11-Rx/problems/chr1:149509645-205922707,13.5145537271639,Inf
H3K27me3_RL_cancer/samples/BT416/C11-Rx/problems/chr20:34947085-61091437,14.3959445079194,16.6522992855601
H3K27me3_RL_cancer/samples/BT416/C11-Rx/problems/chr4:9324642-31820917,17.7100186230594,18.1886744221827
H3K27me3_RL_cancer/samples/BT416/C11-Rx/problems/chr7:282484-50370631,13.9966016380262,17.2206789016386
H3K27me3_RL_cancer/samples/BT416/C11-Rx/problems/chr8:7524649-12091854,16.6213179082962,Inf
H3K27me3_RL_cancer/samples/BT416/C11-Rx/problems/chr9:10000-39663686,12.6072766628236,Inf
H3K27me3_RL_cancer/samples/BT416/p8/problems/chr15:77912000-82829645,14.7479330556412,17.616018041919
H3K27me3_RL_cancer/samples/BT416/p8/problems/chr1:148734147-148954460,15.9419973191747,17.4742879943678
H3K27me3_RL_cancer/samples/BT416/p8/problems/chr1:149004460-149459645,12.9771935686743,13.7098846564748
H3K27me3_RL_cancer/samples/BT416/p8/problems/chr1:149509645-205922707,12.453196950601,Inf
H3K27me3_RL_cancer/samples/BT416/p8/problems/chr20:34947085-61091437,15.1000712137759,18.4486818522543
H3K27me3_RL_cancer/samples/BT416/p8/problems/chr4:9324642-31820917,18.1740617617377,19.8737473379841
H3K27me3_RL_cancer/samples/BT416/p8/problems/chr7:282484-50370631,15.7637270559157,18.0294821710505
H3K27me3_RL_cancer/samples/BT416/p8/problems/chr8:7524649-12091854,17.6762636711051,Inf
H3K27me3_RL_cancer/samples/BT416/p8/problems/chr9:10000-39663686,13.4227679011236,Inf
H3K27me3_RL_cancer/samples/DIPGVI/C27/problems/chr15:77912000-82829645,12.4073236078351,15.5316664910036
H3K27me3_RL_cancer/samples/DIPGVI/C27/problems/chr1:148734147-148954460,13.6463537145142,16.7724931297635
H3K27me3_RL_cancer/samples/DIPGVI/C27/problems/chr1:149004460-149459645,11.6991585082133,14.7584428725864
H3K27me3_RL_cancer/samples/DIPGVI/C27/problems/chr1:149509645-205922707,10.6700643641227,Inf
H3K27me3_RL_cancer/samples/DIPGVI/C27/problems/chr20:34947085-61091437,11.7604966521229,13.105167868365
H3K27me3_RL_cancer/samples/DIPGVI/C27/problems/chr4:9324642-31820917,13.9400100019447,18.2284500113791
H3K27me3_RL_cancer/samples/DIPGVI/C27/problems/chr7:282484-50370631,17.6759759241307,Inf
H3K27me3_RL_cancer/samples/DIPGVI/C27/problems/chr8:7524649-12091854,16.6481151277695,Inf
H3K27me3_RL_cancer/samples/DIPGVI/C27/problems/chr9:10000-39663686,11.0844531017797,13.9507941565833
H3K27me3_RL_cancer/samples/DIPGVI/C30-Rx/problems/chr15:77912000-82829645,13.6193386205549,16.5382405322196
