sequenceID,quartile.0%,quartile.25%,quartile.50%,quartile.75%,quartile.100%,mean,sd,bases,data,log+1.quartile.0%,log+1.quartile.25%,log+1.quartile.50%,log+1.quartile.75%,log+1.quartile.100%,log+1.mean,log+1.sd,log+1.bases,log+1.data,log.quartile.0%,log.quartile.25%,log.quartile.50%,log.quartile.75%,log.quartile.100%,log.mean,log.sd,log.bases,log.data,log.log.quartile.0%,log.log.quartile.25%,log.log.quartile.50%,log.log.quartile.75%,log.log.quartile.100%,log.log.mean,log.log.sd,log.log.bases,log.log.data
H3K36me3_TDH_ENCODE/samples/aorta/ENCFF131OQD/problems/chr5:100000-17500000,0,0,0,1,17,0.692249482758621,0.885320227693007,17400000,314391,0,0,0,0.693147180559945,2.89037175789616,0.52605869875348,0.634097688536906,16.671980821656,12.6583958939208,-Inf,-Inf,-Inf,0,2.83321334405622,-0.367808864120048,-0.121805860221086,16.6719807641848,12.6583927131733,,,,-Inf,1.04141152477478,,,2.81372951179059,2.53832045077099
H3K36me3_TDH_ENCODE/samples/aorta/ENCFF131OQD/problems/chr6:60000-58087659,0,0,1,1,13,0.786980429453478,0.962270125082548,58027659,1190463,0,0,0.693147180559945,0.693147180559945,2.63905732961526,0.580527284496436,0.674102030097838,17.8764303513834,13.9898537050566,-Inf,-Inf,0,0,2.56494935746154,-0.239551898150323,-0.0384600724279495,17.8764303341502,13.9898528650477,,,-Inf,-Inf,0.941938734748111,,,2.88348310407247,2.63833227147038
H3K36me3_TDH_ENCODE/samples/aorta/ENCFF131OQD/problems/chr6:62178589-95680543,0,0,1,1,10,0.735417462515768,0.902119999458597,33501954,642953,0,0,0.693147180559945,0.693147180559945,2.39789527279837,0.551247996857321,0.642969053331033,17.3271143533015,13.3738284610028,-Inf,-Inf,0,0,2.30258509299405,-0.307316964794809,-0.103007730674375,17.3271143234525,13.3738269056804,,,-Inf,-Inf,0.834032445247956,,,2.85227257650154,2.59329958094899
H3K36me3_TDH_ENCODE/samples/aorta/ENCFF131OQD/problems/chr7:62500000-74715724,0,0,0,1,10,0.647981159364766,0.919928722157336,12215724,206847,0,0,0,0.693147180559945,2.39789527279837,0.499550998997637,0.652288061474194,16.3182346141668,12.2397395030007,-Inf,-Inf,-Inf,0,2.30258509299405,-0.433893658106923,-0.0834590878564041,16.3182345323051,12.2397346685211,,,,-Inf,0.834032445247956,,,2.7922831655167,2.50468759944082
H3K36me3_TDH_ENCODE/samples/aorta/ENCFF131OQD/problems/chr8:48135599-86500000,0,0,0,1,56,0.719703065349567,0.895269015830879,38364401,720369,0,0,0,0.693147180559945,4.04305126783455,0.542151639497308,0.639360789319522,17.4626405563487,13.4875202478855,-Inf,-Inf,-Inf,0,4.02535169073515,-0.328916561272826,-0.110631029523951,17.4626405302829,13.487518859709,,,,-Inf,1.39261228363358,,,2.86006377209732,2.60176472889349
H3K36me3_TDH_ENCODE/samples/aorta/ENCFF131OQD/problems/chr8:87000000-142766515,0,0,1,1,11,0.756860026128583,0.918546151023055,55766515,1100608,0,0,0.693147180559945,0.693147180559945,2.484906649788,0.563528139627657,0.651567686200291,17.8366841755519,13.9113742209322,-Inf,-Inf,0,0,2.39789527279837,-0.278576948680778,-0.0849631295107999,17.83668415762,13.9113733123439,,,-Inf,-Inf,0.874591382923689,,,2.88125724427245,2.63270672948358
H3K36me3_TDH_ENCODE/samples/aorta/ENCFF654ZIL/problems/chr5:100000-17500000,0,0,1,2,24,1.2097208045977,1.22428967213496,17400000,543575,0,0,0.693147180559945,1.09861228866811,3.2188758248682,0.792866174787785,0.799437616168889,16.671980821656,13.2059248101741,-Inf,-Inf,0,0.693147180559945,3.17805383034795,0.19038959298218,0.202360816331497,16.6719807641848,13.2059229705033,,,-Inf,-0.366512920581664,1.15626900640655,-1.65868281682575,-1.59770295551091,2.81372951179059,2.58066543883876
H3K36me3_TDH_ENCODE/samples/aorta/ENCFF654ZIL/problems/chr6:60000-58087659,0,0,1,2,17,1.39013245390444,1.3481030403538,58027659,2075780,0,0,0.693147180559945,1.09861228866811,2.89037175789616,0.871348784451484,0.853607785310372,17.8764303513834,14.5458480263738,-Inf,-Inf,0,0.693147180559945,2.83321334405622,0.329399033181475,0.298698449000372,17.8764303341502,14.5458475446273,,,-Inf,-0.366512920581664,1.04141152477478,-1.11048539633254,-1.20832074627315,2.88348310407247,2.67730556076359
H3K36me3_TDH_ENCODE/samples/aorta/ENCFF654ZIL/problems/chr6:62178589-95680543,0,0,1,2,15,1.30949373878312,1.24917752935387,33501954,1131768,0,0,0.693147180559945,1.09861228866811,2.77258872223978,0.837028339814537,0.810564606879988,17.3271143533015,13.9392924533172,-Inf,-Inf,0,0.693147180559945,2.70805020110221,0.269640603574372,0.222485358235756,17.3271143234525,13.9392915697443,,,-Inf,-0.366512920581664,0.996228892951395,-1.31066530455417,-1.50289398522313,2.85227257650154,2.63471158408005
H3K36me3_TDH_ENCODE/samples/aorta/ENCFF654ZIL/problems/chr7:62500000-74715724,0,0,1,2,17,1.1299940142721,1.31589583690365,12215724,356313,0,0,0.693147180559945,1.09861228866811,2.89037175789616,0.756119169516492,0.83979658326912,16.3182346141668,12.7835676435528,-Inf,-Inf,0,0.693147180559945,2.83321334405622,0.122212335605881,0.274517678481475,16.3182345323051,12.7835648370355,,,-Inf,-0.366512920581664,1.04141152477478,-2.10199529130105,-1.2927396176237,2.7922831655167,2.54816034878839
