sequenceID,quartile.0%,quartile.25%,quartile.50%,quartile.75%,quartile.100%,mean,sd,bases,data,log+1.quartile.0%,log+1.quartile.25%,log+1.quartile.50%,log+1.quartile.75%,log+1.quartile.100%,log+1.mean,log+1.sd,log+1.bases,log+1.data,log.quartile.0%,log.quartile.25%,log.quartile.50%,log.quartile.75%,log.quartile.100%,log.mean,log.sd,log.bases,log.data,log.log.quartile.0%,log.log.quartile.25%,log.log.quartile.50%,log.log.quartile.75%,log.log.quartile.100%,log.log.mean,log.log.sd,log.log.bases,log.log.data
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr10:18024675-38818835,0,1,6,11,1801,8.69775008944819,26.7697498236122,20794160,1315316,0,0.693147180559945,1.94591014905531,2.484906649788,7.49665243816828,2.27189390906346,3.32394729240568,16.8501827841081,14.0895882591814,-Inf,0,1.79175946922805,2.39789527279837,7.49609734517596,2.16306438180685,3.28727251208748,16.8501827360177,14.0895874989081,,-Inf,0.583198080782659,0.874591382923689,2.01438253113461,0.77152591157966,1.19005819726549,2.82436150160709,2.64543604932221
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr1:17175658-29878082,0,4,8,13,1885,13.121331881222,51.885453147977,12702424,1020524,0,1.6094379124341,2.19722457733622,2.63905732961526,7.5422134631934,2.64768655348227,3.96812831329728,16.3573034780831,13.8358277587272,-Inf,1.38629436111989,2.07944154167984,2.56494935746154,7.54168309988211,2.57423929370066,3.94903846471819,16.3573033993579,13.8358267788389,,0.326634259978281,0.732099368086445,0.941938734748111,2.0204453799054,0.945554070548563,1.37347212262633,2.79467448869872,2.62726137139832
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr2:16329724-21153113,0,4,7,11,1457,9.56629000895428,31.2022208662183,4823389,317443,0,1.6094379124341,2.07944154167984,2.484906649788,7.2848209125686,2.35766874573951,3.47203542117254,15.3889875583156,12.6680567038057,-Inf,1.38629436111989,1.94591014905531,2.39789527279837,7.2841348061952,2.25824546143606,3.44048927389171,15.3889873509925,12.6680535536388,,0.326634259978281,0.665729810578276,0.874591382923689,1.98569866885984,0.814588167275426,1.23561369205394,2.73365214653015,2.53908335614132
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr3:60000-66170270,0,4,7,11,2502,9.66066729117881,31.9337413655709,66110270,4437373,0,1.6094379124341,2.07944154167984,2.484906649788,7.82524529143177,2.3665610144501,3.4944977056518,18.0068346785299,15.3055733179965,-Inf,1.38629436111989,1.94591014905531,2.39789527279837,7.82484569102686,2.26806272360045,3.46366317385455,18.0068346634037,15.3055730926379,,0.326634259978281,0.665729810578276,0.874591382923689,2.05730401623521,0.818926041391576,1.24232674978727,2.89075138934945,2.72821701649463
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr4:52660117-59739333,0,1,6,11,1256,8.36898379707583,24.3358895019948,7079216,432647,0,0.693147180559945,1.94591014905531,2.484906649788,7.13648320859025,2.23740463754882,3.23222194792255,15.7726738663337,12.97767974335,-Inf,0,1.79175946922805,2.39789527279837,7.13568734702814,2.12453246698432,3.19195219499031,15.7726737250751,12.9776774319995,,-Inf,0.583198080782659,0.874591382923689,1.96510858084087,0.75355176263262,1.16063270296862,2.75827893163077,2.56323076090469
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr4:75452279-190000000,0,2,6,11,1812,8.15620131805154,20.8824662990461,114547721,6951009,0,1.09861228866811,1.94591014905531,2.484906649788,7.50273821075485,2.21443138940337,3.08568569053627,18.5565020801536,15.7543975307235,-Inf,0.693147180559945,1.79175946922805,2.39789527279837,7.50218648660292,2.09877853583714,3.03890987380949,18.5565020714236,15.7543973868595,,-0.366512920581664,0.583198080782659,0.874591382923689,2.01519450960226,0.741355525904265,1.11149885696626,2.92082024361678,2.75711952546849
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr5:100000-17500000,0,2,6,11,1796,8.11160454022989,23.4444519300962,17400000,1032938,0,1.09861228866811,1.94591014905531,2.484906649788,7.49387388678356,2.2095488253161,3.1964032752473,16.671980821656,13.8479186950513,-Inf,0.693147180559945,1.79175946922805,2.39789527279837,7.49331724886215,2.09329569568885,3.154633875433,16.6719807641848,13.8479177269395,,-0.366512920581664,0.583198080782659,0.874591382923689,2.01401158985091,0.738739711883886,1.14887244343779,2.81372951179059,2.62813487670515
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Stanford_/problems/chr10:18024675-38818835,0,0,4,7,5326,7.54022821792272,63.0265675546365,20794160,942513,0,0,1.6094379124341,2.07944154167984,8.580543506917,2.14478773085357,4.15929811526321,16.8501827841081,13.7563060523054,-Inf,-Inf,1.38629436111989,1.94591014905531,8.58035576637388,2.02025244919082,4.14355634471449,16.8501827360177,13.7563049913126,,,0.326634259978281,0.665729810578276,2.14947537725258,0.703222478451347,1.42155443955274,2.82436150160709,2.62149726383577
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Stanford_/problems/chr1:17175658-29878082,0,0,4,9,5357,14.9123855415313,127.651675295229,12702424,768615,0,0,1.6094379124341,2.30258509299405,8.58634605010455,2.76709777086669,4.85710856075901,16.3573034780831,13.5523467739662,-Inf,-Inf,1.38629436111989,2.19722457733622,8.58615939588096,2.7021921120572,4.84930526773165,16.3573033993579,13.5523454729256,,,0.326634259978281,0.787195008176644,2.1501515342563,0.994063336957675,1.57883545092235,2.79467448869872,2.60655962997893
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Stanford_/problems/chr2:16329724-21153113,0,0,4,7,4235,8.88896085304337,81.2008988703075,4823389,227521,0,0,1.6094379124341,2.07944154167984,8.3513747067213,2.29141906964349,4.40916623716424,15.3889875583156,12.3350022159944,-Inf,-Inf,1.38629436111989,1.94591014905531,8.35113860708615,2.18481015327227,4.39692631693774,15.3889873509925,12.3349978208054,,,0.326634259978281,0.665729810578276,2.12239788969665,0.781528938398466,1.48090573248213,2.73365214653015,2.51244057331372
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Stanford_/problems/chr3:60000-66170270,0,0,4,7,9793,9.02143515674645,81.5273607717024,66110270,3205064,0,0,1.6094379124341,2.07944154167984,9.18952523226226,2.30472631461661,4.41312988407596,18.0068346785299,14.9802429289425,-Inf,-Inf,1.38629436111989,1.94591014905531,9.1894231237208,2.1996034297049,4.40093867889736,18.0068346634037,14.9802426169363,,,0.326634259978281,0.665729810578276,2.21805316222332,0.788277084890577,1.48181785428434,2.89075138934945,2.70673217401508
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Stanford_/problems/chr4:52660117-59739333,0,0,4,7,4478,7.10659358324425,61.0274393886918,7079216,301008,0,0,1.6094379124341,2.07944154167984,8.4071550862073,2.09267775316441,4.12757685792488,15.7726738663337,12.6148954436162,-Inf,-Inf,1.38629436111989,1.94591014905531,8.4069317971587,1.96102302679301,4.11132358907603,15.7726737250751,12.6148921214509,,,0.326634259978281,0.665729810578276,2.1290565794949,0.673466289518044,1.41374501780175,2.75827893163077,2.53487803044733
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Stanford_/problems/chr4:75452279-190000000,0,0,4,7,6934,6.60835660798524,50.5481937473009,114547721,4817065,0,0,1.6094379124341,2.07944154167984,8.84433633274893,2.02924719690817,3.94251717099945,18.5565020801536,15.3876755869924,-Inf,-Inf,1.38629436111989,1.94591014905531,8.84419212624497,1.88833500086202,3.92292721282612,18.5565020714236,15.3876753793972,,,0.326634259978281,0.665729810578276,2.17976098666754,0.635695488880502,1.36683811309814,2.92082024361678,2.7335668889694
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Stanford_/problems/chr5:100000-17500000,0,0,4,7,5953,7.0925117816092,56.8480482302396,17400000,765083,0,0,1.6094379124341,2.07944154167984,8.69181854157572,2.09093916268488,4.05781971461313,16.671980821656,13.5477409107022,-Inf,-Inf,1.38629436111989,1.94591014905531,8.69165057315339,1.95903954883579,4.04038188768528,16.6719807641848,13.5477396036554,,,0.326634259978281,0.665729810578276,2.16236286061433,0.672454327036208,1.39633921416047,2.81372951179059,2.60621971449146
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__UTA_/problems/chr10:18024675-38818835,0,0,4,9,4599,7.92476478972942,51.9975389950668,20794160,1404872,0,0,1.6094379124341,2.30258509299405,8.43381158247719,2.18882997322649,3.97024547841868,16.8501827841081,14.1554574652054,-Inf,-Inf,1.38629436111989,2.19722457733622,8.43359416753992,2.06999263979349,3.95119639044352,16.8501827360177,14.155456753397,,,0.326634259978281,0.787195008176644,2.13222303554438,0.727545051615637,1.37401841670962,2.82436150160709,2.65010018603316
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__UTA_/problems/chr1:17175658-29878082,0,0,6,11,4819,15.3156884859142,106.205640452663,12702424,1192409,0,0,1.94591014905531,2.484906649788,8.48052920704465,2.79212712872059,4.67474886341542,16.3573034780831,13.9914870271984,-Inf,-Inf,1.79175946922805,2.39789527279837,8.48032171664033,2.72887769428012,4.66537721900446,16.3573033993579,13.9914861885603,,,0.583198080782659,0.874591382923689,2.13774838736723,1.00389042367539,1.54016869255312,2.79467448869872,2.63844901524103
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__UTA_/problems/chr2:16329724-21153113,0,0,6,11,3572,9.46298836772236,66.0929755158736,4823389,350942,0,0,1.94591014905531,2.484906649788,8.18116085802341,2.34784411264472,4.20607935169988,15.3889875583156,12.7683790960984,-Inf,-Inf,1.79175946922805,2.39789527279837,8.18088094199639,2.2473882282875,4.19106247064885,15.3889873509925,12.7683762466288,,,0.583198080782659,0.874591382923689,2.10179983943659,0.809768754553013,1.43295427473708,2.73365214653015,2.546971508211
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__UTA_/problems/chr3:60000-66170270,0,0,6,11,6786,9.71987157214756,68.600386998097,66110270,4940156,0,0,1.94591014905531,2.484906649788,8.82276429670376,2.37209917536078,4.2427701276424,18.0068346785299,15.4129076700356,-Inf,-Inf,1.79175946922805,2.39789527279837,8.82261694534418,2.27417240564304,4.2282981760876,18.0068346634037,15.4129074676129,,,0.583198080782659,0.874591382923689,2.17731853183157,0.821616208480417,1.44179958966688,2.89075138934945,2.73520530561791
