sequenceID,fold
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr10:18024675-38818835,2
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr10:51448845-125869472,4
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr11:96437584-134946516,1
H3K36me3_TDH_immune/samples/bcell/McGill0322/problems/chr12:7239876-34856694,3
H3K36me3_TDH_immune/samples/monocyte/McGill0001/problems/chr10:18024675-38818835,2
H3K36me3_TDH_immune/samples/monocyte/McGill0001/problems/chr10:51448845-125869472,4
H3K36me3_TDH_immune/samples/monocyte/McGill0001/problems/chr11:96437584-134946516,1
H3K36me3_TDH_immune/samples/monocyte/McGill0001/problems/chr12:7239876-34856694,3
H3K36me3_TDH_immune/samples/monocyte/McGill0002/problems/chr10:18024675-38818835,2
H3K36me3_TDH_immune/samples/monocyte/McGill0002/problems/chr10:51448845-125869472,4
H3K36me3_TDH_immune/samples/monocyte/McGill0002/problems/chr11:96437584-134946516,1
H3K36me3_TDH_immune/samples/monocyte/McGill0002/problems/chr12:7239876-34856694,3
H3K36me3_TDH_immune/samples/monocyte/McGill0079/problems/chr10:18024675-38818835,2
H3K36me3_TDH_immune/samples/monocyte/McGill0079/problems/chr10:51448845-125869472,4
H3K36me3_TDH_immune/samples/monocyte/McGill0079/problems/chr11:96437584-134946516,1
H3K36me3_TDH_immune/samples/monocyte/McGill0079/problems/chr12:7239876-34856694,3
H3K36me3_TDH_immune/samples/monocyte/McGill0101/problems/chr10:18024675-38818835,2
H3K36me3_TDH_immune/samples/monocyte/McGill0101/problems/chr10:51448845-125869472,4
H3K36me3_TDH_immune/samples/monocyte/McGill0101/problems/chr11:96437584-134946516,1
H3K36me3_TDH_immune/samples/monocyte/McGill0101/problems/chr12:7239876-34856694,3
H3K36me3_TDH_immune/samples/monocyte/McGill0104/problems/chr10:18024675-38818835,2
H3K36me3_TDH_immune/samples/monocyte/McGill0104/problems/chr10:51448845-125869472,4
H3K36me3_TDH_immune/samples/monocyte/McGill0104/problems/chr11:96437584-134946516,1
H3K36me3_TDH_immune/samples/monocyte/McGill0104/problems/chr12:7239876-34856694,3
H3K36me3_TDH_immune/samples/tcell/McGill0004/problems/chr10:18024675-38818835,2
H3K36me3_TDH_immune/samples/tcell/McGill0004/problems/chr10:51448845-125869472,4
H3K36me3_TDH_immune/samples/tcell/McGill0004/problems/chr11:96437584-134946516,1
H3K36me3_TDH_immune/samples/tcell/McGill0004/problems/chr12:7239876-34856694,3
H3K36me3_TDH_immune/samples/tcell/McGill0005/problems/chr10:18024675-38818835,2
H3K36me3_TDH_immune/samples/tcell/McGill0005/problems/chr10:51448845-125869472,4
H3K36me3_TDH_immune/samples/tcell/McGill0005/problems/chr11:96437584-134946516,1
H3K36me3_TDH_immune/samples/tcell/McGill0005/problems/chr12:7239876-34856694,3
H3K36me3_TDH_immune/samples/tcell/McGill0007/problems/chr10:18024675-38818835,2
H3K36me3_TDH_immune/samples/tcell/McGill0007/problems/chr10:51448845-125869472,4
H3K36me3_TDH_immune/samples/tcell/McGill0007/problems/chr11:96437584-134946516,1
H3K36me3_TDH_immune/samples/tcell/McGill0007/problems/chr12:7239876-34856694,3
H3K36me3_TDH_immune/samples/tcell/McGill0008/problems/chr10:18024675-38818835,2
H3K36me3_TDH_immune/samples/tcell/McGill0008/problems/chr10:51448845-125869472,4
H3K36me3_TDH_immune/samples/tcell/McGill0008/problems/chr11:96437584-134946516,1
H3K36me3_TDH_immune/samples/tcell/McGill0008/problems/chr12:7239876-34856694,3
H3K36me3_TDH_immune/samples/tcell/McGill0009/problems/chr10:18024675-38818835,2
H3K36me3_TDH_immune/samples/tcell/McGill0009/problems/chr10:51448845-125869472,4
H3K36me3_TDH_immune/samples/tcell/McGill0009/problems/chr11:96437584-134946516,1
H3K36me3_TDH_immune/samples/tcell/McGill0009/problems/chr12:7239876-34856694,3
H3K36me3_TDH_immune/samples/tcell/McGill0011/problems/chr10:18024675-38818835,2
H3K36me3_TDH_immune/samples/tcell/McGill0011/problems/chr10:51448845-125869472,4
H3K36me3_TDH_immune/samples/tcell/McGill0011/problems/chr11:96437584-134946516,1
H3K36me3_TDH_immune/samples/tcell/McGill0011/problems/chr12:7239876-34856694,3
H3K36me3_TDH_immune/samples/tcell/McGill0024/problems/chr10:18024675-38818835,2
H3K36me3_TDH_immune/samples/tcell/McGill0024/problems/chr10:51448845-125869472,4
H3K36me3_TDH_immune/samples/tcell/McGill0024/problems/chr11:96437584-134946516,1
H3K36me3_TDH_immune/samples/tcell/McGill0024/problems/chr12:7239876-34856694,3
H3K36me3_TDH_immune/samples/tcell/McGill0025/problems/chr10:18024675-38818835,2
H3K36me3_TDH_immune/samples/tcell/McGill0025/problems/chr10:51448845-125869472,4
H3K36me3_TDH_immune/samples/tcell/McGill0025/problems/chr11:96437584-134946516,1
H3K36me3_TDH_immune/samples/tcell/McGill0025/problems/chr12:7239876-34856694,3
H3K36me3_TDH_immune/samples/tcell/McGill0026/problems/chr10:18024675-38818835,2
H3K36me3_TDH_immune/samples/tcell/McGill0026/problems/chr10:51448845-125869472,4
H3K36me3_TDH_immune/samples/tcell/McGill0026/problems/chr11:96437584-134946516,1
H3K36me3_TDH_immune/samples/tcell/McGill0026/problems/chr12:7239876-34856694,3
H3K36me3_TDH_immune/samples/tcell/McGill0027/problems/chr10:18024675-38818835,2
H3K36me3_TDH_immune/samples/tcell/McGill0027/problems/chr10:51448845-125869472,4
H3K36me3_TDH_immune/samples/tcell/McGill0027/problems/chr11:96437584-134946516,1
H3K36me3_TDH_immune/samples/tcell/McGill0027/problems/chr12:7239876-34856694,3
H3K36me3_TDH_immune/samples/tcell/McGill0028/problems/chr10:18024675-38818835,2
H3K36me3_TDH_immune/samples/tcell/McGill0028/problems/chr10:51448845-125869472,4
H3K36me3_TDH_immune/samples/tcell/McGill0028/problems/chr11:96437584-134946516,1
H3K36me3_TDH_immune/samples/tcell/McGill0028/problems/chr12:7239876-34856694,3
H3K36me3_TDH_immune/samples/tcell/McGill0029/problems/chr10:18024675-38818835,2
H3K36me3_TDH_immune/samples/tcell/McGill0029/problems/chr10:51448845-125869472,4
H3K36me3_TDH_immune/samples/tcell/McGill0029/problems/chr11:96437584-134946516,1
H3K36me3_TDH_immune/samples/tcell/McGill0029/problems/chr12:7239876-34856694,3
H3K36me3_TDH_immune/samples/tcell/McGill0102/problems/chr10:18024675-38818835,2
H3K36me3_TDH_immune/samples/tcell/McGill0102/problems/chr10:51448845-125869472,4
H3K36me3_TDH_immune/samples/tcell/McGill0102/problems/chr11:96437584-134946516,1
H3K36me3_TDH_immune/samples/tcell/McGill0102/problems/chr12:7239876-34856694,3
H3K36me3_TDH_immune/samples/tcell/McGill0106/problems/chr10:18024675-38818835,2
H3K36me3_TDH_immune/samples/tcell/McGill0106/problems/chr10:51448845-125869472,4
H3K36me3_TDH_immune/samples/tcell/McGill0106/problems/chr11:96437584-134946516,1
H3K36me3_TDH_immune/samples/tcell/McGill0106/problems/chr12:7239876-34856694,3
H3K36me3_TDH_immune/samples/tcell/McGill0107/problems/chr10:18024675-38818835,2
H3K36me3_TDH_immune/samples/tcell/McGill0107/problems/chr10:51448845-125869472,4
H3K36me3_TDH_immune/samples/tcell/McGill0107/problems/chr11:96437584-134946516,1
H3K36me3_TDH_immune/samples/tcell/McGill0107/problems/chr12:7239876-34856694,3
