sequenceID,min.log.lambda,max.log.lambda,possible.fp,fp,possible.fn,fn,labels,errors
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr10:18024675-38818835,-Inf,2.9414560814353,25,25,12,0,25,25
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr10:18024675-38818835,2.9414560814353,6.58775785026858,25,25,12,0,25,25
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr10:18024675-38818835,6.58775785026858,8.34669067092936,25,24,12,0,25,24
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr10:18024675-38818835,8.34669067092936,9.25049312774232,25,21,12,0,25,21
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr10:18024675-38818835,9.25049312774232,9.62370790386314,25,15,12,0,25,15
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr10:18024675-38818835,9.62370790386314,9.87927867214406,25,11,12,0,25,11
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr10:18024675-38818835,9.87927867214406,10.1155824514714,25,10,12,0,25,10
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr10:18024675-38818835,10.1155824514714,10.3536979385186,25,4,12,0,25,4
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr10:18024675-38818835,10.3536979385186,10.4432669984113,25,4,12,0,25,4
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr10:18024675-38818835,10.4432669984113,10.4916296385312,25,4,12,0,25,4
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr10:18024675-38818835,10.4916296385312,10.5205266291574,25,4,12,0,25,4
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr10:18024675-38818835,10.5205266291574,10.5315840088676,25,4,12,0,25,4
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr10:18024675-38818835,10.5315840088676,10.5394515778673,25,3,12,0,25,3
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr10:18024675-38818835,10.5394515778673,10.5637487181581,25,3,12,0,25,3
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr10:18024675-38818835,10.5637487181581,10.5713328317647,25,3,12,0,25,3
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr10:18024675-38818835,10.5713328317647,10.5823389717594,25,8,12,2,25,10
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr10:18024675-38818835,10.5823389717594,10.6726696948622,25,8,12,2,25,10
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr10:18024675-38818835,10.6726696948622,10.847498571298,25,8,12,2,25,10
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr10:18024675-38818835,10.847498571298,11.1654369874537,25,8,12,2,25,10
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr10:18024675-38818835,11.1654369874537,11.5249730016076,25,7,12,2,25,9
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr10:18024675-38818835,11.5249730016076,11.6781408581826,25,7,12,2,25,9
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr10:18024675-38818835,11.6781408581826,11.7631887479779,25,7,12,3,25,10
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr10:18024675-38818835,11.7631887479779,11.9973845864154,25,1,12,3,25,4
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr10:18024675-38818835,11.9973845864154,12.5672142291134,25,6,12,12,25,18
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr10:18024675-38818835,12.5672142291134,13.3409701242526,25,3,12,12,25,15
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr10:18024675-38818835,13.3409701242526,Inf,25,0,12,12,25,12
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr14:19050000-107289540,-Inf,2.97954052822578,14,14,3,0,14,14
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr14:19050000-107289540,2.97954052822578,6.69253181604114,14,14,3,0,14,14
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr14:19050000-107289540,6.69253181604114,8.51325863466281,14,14,3,0,14,14
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr14:19050000-107289540,8.51325863466281,9.88334546493995,14,6,3,0,14,6
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr14:19050000-107289540,9.88334546493995,11.2177052060746,14,6,3,0,14,6
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr14:19050000-107289540,11.2177052060746,11.7683379314697,14,5,3,0,14,5
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr14:19050000-107289540,11.7683379314697,12.0262790213417,14,5,3,2,14,7
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr14:19050000-107289540,12.0262790213417,12.4266878140515,14,4,3,2,14,6
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr14:19050000-107289540,12.4266878140515,13.210052779569,14,4,3,2,14,6
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr14:19050000-107289540,13.210052779569,14.3773762439661,14,7,3,2,14,9
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr14:19050000-107289540,14.3773762439661,14.8196775991263,14,7,3,3,14,10
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr14:19050000-107289540,14.8196775991263,14.8916095246331,14,7,3,3,14,10
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr14:19050000-107289540,14.8916095246331,14.9409193993894,14,0,3,3,14,3
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr14:19050000-107289540,14.9409193993894,16.6717729559157,14,0,3,3,14,3
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr14:19050000-107289540,16.6717729559157,Inf,14,0,3,3,14,3
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr4:75452279-190000000,-Inf,3.43456884801245,15,15,6,0,15,15
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr4:75452279-190000000,3.43456884801245,6.8037043256551,15,15,6,0,15,15
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr4:75452279-190000000,6.8037043256551,8.43788256630022,15,14,6,0,15,14
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr4:75452279-190000000,8.43788256630022,9.25653543790501,15,10,6,0,15,10
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr4:75452279-190000000,9.25653543790501,9.61854410684787,15,8,6,0,15,8
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr4:75452279-190000000,9.61854410684787,9.91413335008624,15,7,6,0,15,7
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr4:75452279-190000000,9.91413335008624,10.2636852177176,15,7,6,1,15,8
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr4:75452279-190000000,10.2636852177176,10.6045666856249,15,5,6,1,15,6
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr4:75452279-190000000,10.6045666856249,10.72463065146,15,5,6,1,15,6
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr4:75452279-190000000,10.72463065146,10.8057003011621,15,5,6,1,15,6
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr4:75452279-190000000,10.8057003011621,10.854908343266,15,5,6,1,15,6
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr4:75452279-190000000,10.854908343266,10.8677764535345,15,5,6,1,15,6
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr4:75452279-190000000,10.8677764535345,10.8680161366495,15,5,6,1,15,6
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr4:75452279-190000000,10.8680161366495,10.8694146457864,15,1,6,1,15,2
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr4:75452279-190000000,10.8694146457864,10.8742111106083,15,1,6,1,15,2
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr4:75452279-190000000,10.8742111106083,10.8862302728859,15,1,6,1,15,2
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr4:75452279-190000000,10.8862302728859,10.956347944448,15,1,6,1,15,2
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr4:75452279-190000000,10.956347944448,11.0445820015241,15,1,6,1,15,2
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr4:75452279-190000000,11.0445820015241,11.1148459265655,15,1,6,1,15,2
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr4:75452279-190000000,11.1148459265655,11.1275594622087,15,1,6,1,15,2
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr4:75452279-190000000,11.1275594622087,11.1360280165763,15,0,6,2,15,2
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr4:75452279-190000000,11.1360280165763,11.1607007382043,15,0,6,2,15,2
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr4:75452279-190000000,11.1607007382043,11.1924843694439,15,0,6,2,15,2
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr4:75452279-190000000,11.1924843694439,11.2736913907606,15,0,6,2,15,2
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr4:75452279-190000000,11.2736913907606,11.354599910263,15,0,6,2,15,2
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr4:75452279-190000000,11.354599910263,11.4066156293867,15,0,6,2,15,2
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr4:75452279-190000000,11.4066156293867,11.4442805937065,15,0,6,2,15,2
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr4:75452279-190000000,11.4442805937065,11.5513082438681,15,0,6,2,15,2
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr4:75452279-190000000,11.5513082438681,11.590436202664,15,0,6,2,15,2
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr4:75452279-190000000,11.590436202664,11.6371727395617,15,0,6,2,15,2
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr4:75452279-190000000,11.6371727395617,11.7684619259796,15,0,6,2,15,2
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr4:75452279-190000000,11.7684619259796,11.8281659819244,15,0,6,2,15,2
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr4:75452279-190000000,11.8281659819244,11.8818957395452,15,0,6,2,15,2
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr4:75452279-190000000,11.8818957395452,11.8854405499262,15,0,6,2,15,2
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr4:75452279-190000000,11.8854405499262,11.8880140440795,15,0,6,2,15,2
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr4:75452279-190000000,11.8880140440795,11.9254646882507,15,0,6,4,15,4
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr4:75452279-190000000,11.9254646882507,12.0066003475468,15,0,6,4,15,4
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr4:75452279-190000000,12.0066003475468,12.3756575375643,15,0,6,4,15,4
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr4:75452279-190000000,12.3756575375643,14.2729379870773,15,0,6,6,15,6
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr4:75452279-190000000,14.2729379870773,Inf,15,0,6,6,15,6
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr5:49600000-91636128,-Inf,3.32699966973969,14,14,2,0,14,14
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr5:49600000-91636128,3.32699966973969,6.82672972468135,14,14,2,0,14,14
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr5:49600000-91636128,6.82672972468135,8.50421131007192,14,14,2,0,14,14
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr5:49600000-91636128,8.50421131007192,9.42650161352677,14,11,2,0,14,11
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr5:49600000-91636128,9.42650161352677,9.82584141657579,14,7,2,0,14,7
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr5:49600000-91636128,9.82584141657579,10.1808959882771,14,6,2,0,14,6
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr5:49600000-91636128,10.1808959882771,11.0765269138806,14,6,2,2,14,8
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr5:49600000-91636128,11.0765269138806,12.237330391385,14,5,2,2,14,7
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr5:49600000-91636128,12.237330391385,12.9406333754965,14,5,2,2,14,7
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr5:49600000-91636128,12.9406333754965,13.1101329477469,14,12,2,2,14,14
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr5:49600000-91636128,13.1101329477469,13.3579074877076,14,12,2,2,14,14
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr5:49600000-91636128,13.3579074877076,13.7140046721619,14,0,2,2,14,2
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr5:49600000-91636128,13.7140046721619,14.0135626385541,14,0,2,2,14,2
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr5:49600000-91636128,14.0135626385541,14.9540688237357,14,0,2,2,14,2
H3K27me3_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr5:49600000-91636128,14.9540688237357,Inf,14,0,2,2,14,2
H3K27me3_TDH_some/samples/brain/CEMT0023.gDNA/problems/chr10:18024675-38818835,-Inf,3.98484230651257,25,25,12,0,25,25
