sequenceID,fold
H3K27ac_TDH_some/samples/bcell/MS009101/problems/chr1:13607162-16800000,3
H3K27ac_TDH_some/samples/bcell/MS009101/problems/chr1:149509645-205922707,2
H3K27ac_TDH_some/samples/bcell/MS009101/problems/chr1:30028082-91800000,3
H3K27ac_TDH_some/samples/bcell/MS009101/problems/chr3:60000-66170270,1
H3K27ac_TDH_some/samples/bcell/MS009101/problems/chr3:93504854-194041961,4
H3K27ac_TDH_some/samples/bcell/MS012702/problems/chr1:13607162-16800000,3
H3K27ac_TDH_some/samples/bcell/MS012702/problems/chr1:149509645-205922707,2
H3K27ac_TDH_some/samples/bcell/MS012702/problems/chr1:30028082-91800000,3
H3K27ac_TDH_some/samples/bcell/MS012702/problems/chr3:60000-66170270,1
H3K27ac_TDH_some/samples/bcell/MS012702/problems/chr3:93504854-194041961,4
H3K27ac_TDH_some/samples/bcell/MS012703/problems/chr1:13607162-16800000,3
H3K27ac_TDH_some/samples/bcell/MS012703/problems/chr1:149509645-205922707,2
H3K27ac_TDH_some/samples/bcell/MS012703/problems/chr1:30028082-91800000,3
H3K27ac_TDH_some/samples/bcell/MS012703/problems/chr3:60000-66170270,1
H3K27ac_TDH_some/samples/bcell/MS012703/problems/chr3:93504854-194041961,4
H3K27ac_TDH_some/samples/bcell/MS026601/problems/chr1:13607162-16800000,3
H3K27ac_TDH_some/samples/bcell/MS026601/problems/chr1:149509645-205922707,2
H3K27ac_TDH_some/samples/bcell/MS026601/problems/chr1:30028082-91800000,3
H3K27ac_TDH_some/samples/bcell/MS026601/problems/chr3:60000-66170270,1
H3K27ac_TDH_some/samples/bcell/MS026601/problems/chr3:93504854-194041961,4
H3K27ac_TDH_some/samples/bcell/MS026701/problems/chr1:13607162-16800000,3
H3K27ac_TDH_some/samples/bcell/MS026701/problems/chr1:149509645-205922707,2
H3K27ac_TDH_some/samples/bcell/MS026701/problems/chr1:30028082-91800000,3
H3K27ac_TDH_some/samples/bcell/MS026701/problems/chr3:60000-66170270,1
H3K27ac_TDH_some/samples/bcell/MS026701/problems/chr3:93504854-194041961,4
H3K27ac_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr1:13607162-16800000,3
H3K27ac_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr1:149509645-205922707,2
H3K27ac_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr1:30028082-91800000,3
H3K27ac_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr3:60000-66170270,1
H3K27ac_TDH_some/samples/brain/CEMT0022.gDNA/problems/chr3:93504854-194041961,4
H3K27ac_TDH_some/samples/brain/CEMT0023.gDNA/problems/chr1:13607162-16800000,3
H3K27ac_TDH_some/samples/brain/CEMT0023.gDNA/problems/chr1:149509645-205922707,2
H3K27ac_TDH_some/samples/brain/CEMT0023.gDNA/problems/chr1:30028082-91800000,3
H3K27ac_TDH_some/samples/brain/CEMT0023.gDNA/problems/chr3:60000-66170270,1
H3K27ac_TDH_some/samples/brain/CEMT0023.gDNA/problems/chr3:93504854-194041961,4
H3K27ac_TDH_some/samples/hematopoietic/CEMT0031.gDNA/problems/chr1:13607162-16800000,3
H3K27ac_TDH_some/samples/hematopoietic/CEMT0031.gDNA/problems/chr1:149509645-205922707,2
H3K27ac_TDH_some/samples/hematopoietic/CEMT0031.gDNA/problems/chr1:30028082-91800000,3
H3K27ac_TDH_some/samples/hematopoietic/CEMT0031.gDNA/problems/chr3:60000-66170270,1
H3K27ac_TDH_some/samples/hematopoietic/CEMT0031.gDNA/problems/chr3:93504854-194041961,4
H3K27ac_TDH_some/samples/hematopoietic/CEMT0032.gDNA/problems/chr1:13607162-16800000,3
H3K27ac_TDH_some/samples/hematopoietic/CEMT0032.gDNA/problems/chr1:149509645-205922707,2
H3K27ac_TDH_some/samples/hematopoietic/CEMT0032.gDNA/problems/chr1:30028082-91800000,3
H3K27ac_TDH_some/samples/hematopoietic/CEMT0032.gDNA/problems/chr3:60000-66170270,1
H3K27ac_TDH_some/samples/hematopoietic/CEMT0032.gDNA/problems/chr3:93504854-194041961,4
H3K27ac_TDH_some/samples/ips/MS032901/problems/chr1:13607162-16800000,3
H3K27ac_TDH_some/samples/ips/MS032901/problems/chr1:149509645-205922707,2
H3K27ac_TDH_some/samples/ips/MS032901/problems/chr1:30028082-91800000,3
H3K27ac_TDH_some/samples/ips/MS032901/problems/chr3:60000-66170270,1
H3K27ac_TDH_some/samples/ips/MS032901/problems/chr3:93504854-194041961,4
H3K27ac_TDH_some/samples/ips/MS033001/problems/chr1:13607162-16800000,3
H3K27ac_TDH_some/samples/ips/MS033001/problems/chr1:149509645-205922707,2
H3K27ac_TDH_some/samples/ips/MS033001/problems/chr1:30028082-91800000,3
H3K27ac_TDH_some/samples/ips/MS033001/problems/chr3:60000-66170270,1
H3K27ac_TDH_some/samples/ips/MS033001/problems/chr3:93504854-194041961,4
H3K27ac_TDH_some/samples/ips/MS033101/problems/chr1:13607162-16800000,3
H3K27ac_TDH_some/samples/ips/MS033101/problems/chr1:149509645-205922707,2
H3K27ac_TDH_some/samples/ips/MS033101/problems/chr1:30028082-91800000,3
H3K27ac_TDH_some/samples/ips/MS033101/problems/chr3:60000-66170270,1
H3K27ac_TDH_some/samples/ips/MS033101/problems/chr3:93504854-194041961,4
H3K27ac_TDH_some/samples/kidney/MS002201/problems/chr1:13607162-16800000,3
H3K27ac_TDH_some/samples/kidney/MS002201/problems/chr1:149509645-205922707,2
