sequenceID,min.log.lambda,max.log.lambda,possible.fp,fp,possible.fn,fn,labels,errors
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr10:18024675-38818835,-Inf,2.05953368773019,6,6,2,0,6,6
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr10:18024675-38818835,2.05953368773019,6.39263636397729,6,6,2,0,6,6
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr10:18024675-38818835,6.39263636397729,8.28298602983875,6,3,2,0,6,3
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr10:18024675-38818835,8.28298602983875,8.54373863124719,6,1,2,0,6,1
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr10:18024675-38818835,8.54373863124719,8.56641364736667,6,1,2,0,6,1
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr10:18024675-38818835,8.56641364736667,8.58162436138591,6,1,2,0,6,1
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr10:18024675-38818835,8.58162436138591,8.58853494657989,6,1,2,0,6,1
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr10:18024675-38818835,8.58853494657989,8.59253127720072,6,1,2,0,6,1
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr10:18024675-38818835,8.59253127720072,8.59820685008797,6,0,2,0,6,0
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr10:18024675-38818835,8.59820685008797,8.63883155425819,6,0,2,0,6,0
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr10:18024675-38818835,8.63883155425819,8.74446837034895,6,0,2,0,6,0
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr10:18024675-38818835,8.74446837034895,8.96875553736912,6,0,2,0,6,0
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr10:18024675-38818835,8.96875553736912,9.7725354331137,6,0,2,0,6,0
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr10:18024675-38818835,9.7725354331137,10.8783909808171,6,0,2,0,6,0
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr10:18024675-38818835,10.8783909808171,11.3387769143221,6,0,2,0,6,0
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr10:18024675-38818835,11.3387769143221,11.3982129891338,6,0,2,0,6,0
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr10:18024675-38818835,11.3982129891338,11.4090304405442,6,0,2,0,6,0
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr10:18024675-38818835,11.4090304405442,11.4173841392897,6,0,2,2,6,2
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr10:18024675-38818835,11.4173841392897,11.4329109628578,6,0,2,2,6,2
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr10:18024675-38818835,11.4329109628578,11.46308490714,6,0,2,2,6,2
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr10:18024675-38818835,11.46308490714,11.5810842469113,6,0,2,2,6,2
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr10:18024675-38818835,11.5810842469113,11.8768160855343,6,0,2,2,6,2
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr10:18024675-38818835,11.8768160855343,12.8452503965042,6,0,2,2,6,2
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr10:18024675-38818835,12.8452503965042,Inf,6,0,2,2,6,2
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr11:69774695-87688378,-Inf,1.94128653302801,6,6,2,0,6,6
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr11:69774695-87688378,1.94128653302801,5.75471508614943,6,5,2,0,6,5
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr11:69774695-87688378,5.75471508614943,6.84849252275654,6,6,2,0,6,6
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr11:69774695-87688378,6.84849252275654,7.45686316239292,6,5,2,0,6,5
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr11:69774695-87688378,7.45686316239292,7.75882583350546,6,4,2,0,6,4
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr11:69774695-87688378,7.75882583350546,7.82529637072823,6,3,2,0,6,3
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr11:69774695-87688378,7.82529637072823,7.83586621545526,6,3,2,0,6,3
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr11:69774695-87688378,7.83586621545526,7.83803333032587,6,3,2,0,6,3
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr11:69774695-87688378,7.83803333032587,7.8398271490654,6,3,2,0,6,3
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr11:69774695-87688378,7.8398271490654,7.83991021115055,6,0,2,0,6,0
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr11:69774695-87688378,7.83991021115055,7.84026662175981,6,0,2,0,6,0
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr11:69774695-87688378,7.84026662175981,7.8405669911984,6,0,2,0,6,0
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr11:69774695-87688378,7.8405669911984,7.84460585894172,6,0,2,0,6,0
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr11:69774695-87688378,7.84460585894172,7.86238804915188,6,0,2,0,6,0
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr11:69774695-87688378,7.86238804915188,7.91304594069169,6,0,2,0,6,0
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr11:69774695-87688378,7.91304594069169,8.10005599370101,6,0,2,0,6,0
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr11:69774695-87688378,8.10005599370101,9.45241763974257,6,0,2,0,6,0
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr11:69774695-87688378,9.45241763974257,11.2470659648908,6,0,2,0,6,0
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr11:69774695-87688378,11.2470659648908,11.7668746339241,6,0,2,0,6,0
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr11:69774695-87688378,11.7668746339241,11.9129423165956,6,0,2,0,6,0
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr11:69774695-87688378,11.9129423165956,11.978425258118,6,0,2,0,6,0
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr11:69774695-87688378,11.978425258118,11.9905714772521,6,0,2,0,6,0
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr11:69774695-87688378,11.9905714772521,11.9942817156512,6,0,2,2,6,2
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr11:69774695-87688378,11.9942817156512,12.016287819387,6,0,2,2,6,2
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr11:69774695-87688378,12.016287819387,12.2560799708945,6,0,2,2,6,2
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr11:69774695-87688378,12.2560799708945,13.2861402663635,6,0,2,2,6,2
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr11:69774695-87688378,13.2861402663635,Inf,6,0,2,2,6,2
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr12:145739-7189876,-Inf,1.82738422729996,6,6,2,0,6,6
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr12:145739-7189876,1.82738422729996,5.90390214008775,6,6,2,0,6,6
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr12:145739-7189876,5.90390214008775,7.51470034005037,6,6,2,0,6,6
