sequenceID,quartile.0%,quartile.25%,quartile.50%,quartile.75%,quartile.100%,mean,sd,bases,data,log+1.quartile.0%,log+1.quartile.25%,log+1.quartile.50%,log+1.quartile.75%,log+1.quartile.100%,log+1.mean,log+1.sd,log+1.bases,log+1.data,log.quartile.0%,log.quartile.25%,log.quartile.50%,log.quartile.75%,log.quartile.100%,log.mean,log.sd,log.bases,log.data,log.log.quartile.0%,log.log.quartile.25%,log.log.quartile.50%,log.log.quartile.75%,log.log.quartile.100%,log.log.mean,log.log.sd,log.log.bases,log.log.data
H3K27ac-H3K4me3_TDHAM_BP/samples/GR10_H3K27ac/S00RMQ_WTSI/problems/chr5:49600000-91636128,0,0,0,0,128,0.272931917040504,1.59603408514615,42036128,401098,0,0,0,0,4.85981240436167,0.241322835851642,0.953984928627045,17.5540400207611,12.9019635586112,-Inf,-Inf,-Inf,-Inf,4.85203026391962,-1.29853290302959,0.467521855407429,17.554039996972,12.901961065458,,,,,1.57939722847365,,-0.760309181811513,2.86528412267776,2.55737932039181
H3K27ac-H3K4me3_TDHAM_BP/samples/GR10_H3K27ac/S00S2P_WTSI/problems/chr5:49600000-91636128,0,0,0,0,194,0.545849513066475,2.72521844479036,42036128,716962,0,0,0,0,5.27299955856375,0.435573605884399,1.31512549300884,17.5540400207611,13.4827795143451,-Inf,-Inf,-Inf,-Inf,5.26785815906333,-0.605411958320973,1.00254858812813,17.554039996972,13.482778119572,,,,,1.66162385851159,,0.00254534598482728,2.86528412267776,2.60141317620651
H3K27ac-H3K4me3_TDHAM_BP/samples/GR10_H3K27ac/S00S4L_WTSI/problems/chr5:49600000-91636128,0,0,0,0,216,0.386422460222787,2.57858016847223,42036128,522740,0,0,0,0,5.37989735354046,0.326726659679543,1.27496612076023,17.5540400207611,13.1668414004999,-Inf,-Inf,-Inf,-Inf,5.37527840768417,-0.950824051462507,0.947238925153046,17.554039996972,13.1668394875048,,,,,1.68181036945077,,-0.0542039207294505,2.86528412267776,2.57770150878611
H3K27ac-H3K4me3_TDHAM_BP/samples/GR10_H3K27ac/S00S6H_WTSI/problems/chr5:49600000-91636128,0,0,0,0,122,0.372602776354663,0.961554704149058,42036128,586277,0,0,0,0,4.81218435537242,0.316708774187906,0.673737375215139,17.5540400207611,13.2815493587961,-Inf,-Inf,-Inf,-Inf,4.80402104473326,-0.987242369541649,-0.0392038209809347,17.554039996972,13.2815476531192,,,,,1.56945328487701,,,2.86528412267776,2.58637567740253
H3K27ac-H3K4me3_TDHAM_BP/samples/GR10_H3K27ac/S00S7F_WTSI/problems/chr5:49600000-91636128,0,0,0,0,129,0.305949158780752,1.68298313432344,42036128,441696,0,0,0,0,4.86753445045558,0.266930101138411,0.986929285297543,17.5540400207611,12.9983794056213,-Inf,-Inf,-Inf,-Inf,4.85981240436167,-1.18433633860915,0.520567893960264,17.554039996972,12.9983771416233,,,,,1.58099983724182,,-0.652834959548422,2.86528412267776,2.56482451440922
H3K27ac-H3K4me3_TDHAM_BP/samples/GR10_H3K27ac/S00SE1_WTSI/problems/chr5:49600000-91636128,0,0,0,1,169,0.528814357021655,1.7888230929266,42036128,745159,0,0,0,0.693147180559945,5.13579843705026,0.424492504939637,1.0256196763455,17.5540400207611,13.5213542394036,-Inf,-Inf,-Inf,0,5.12989871492307,-0.637117840620983,0.581557913626192,17.554039996972,13.5213528974091,,,,-Inf,1.63508591530806,,-0.542044718472304,2.86528412267776,2.60427013198492
H3K27ac-H3K4me3_TDHAM_BP/samples/GR10_H3K27ac/S00SHW_WTSI/problems/chr5:49600000-91636128,0,0,0,0,171,0.501467285474057,1.71980473454254,42036128,543444,0,0,0,0,5.14749447681345,0.406442820307822,1.00056008895984,17.5540400207611,13.2056837844706,-Inf,-Inf,-Inf,-Inf,5.14166355650266,-0.690216907059765,0.542210757951993,17.554039996972,13.2056819443563,,,,,1.63737667622902,,-0.612100500816006,2.86528412267776,2.58064718730518
H3K27ac-H3K4me3_TDHAM_BP/samples/GR10_H3K27ac/S00SJS_WTSI/problems/chr5:49600000-91636128,0,0,0,1,211,0.671063900081378,2.32749690840404,42036128,1000729,0,0,0,0.693147180559945,5.35658627467201,0.513460489505309,1.20222034218198,17.5540400207611,13.8162402916439,-Inf,-Inf,-Inf,0,5.35185813347607,-0.398890915424863,0.844793401877782,17.554039996972,13.8162392923728,,,,-Inf,1.67744381527656,,-0.168663176337887,2.86528412267776,2.62584466064031
H3K27ac-H3K4me3_TDHAM_BP/samples/GR10_H3K27ac/S00SMM_WTSI/problems/chr5:49600000-91636128,0,0,0,0,102,0.366458537760662,1.37975963998482,42036128,574723,0,0,0,0,4.63472898822964,0.312222384001519,0.86699949098037,17.5540400207611,13.2616452045426,-Inf,-Inf,-Inf,-Inf,4.62497281328427,-1.00386989431254,0.321909310075028,17.554039996972,13.2616434645755,,,,,1.53147049273831,,-1.13348541883706,2.86528412267776,2.58487591859913
H3K27ac-H3K4me3_TDHAM_BP/samples/GR10_H3K27ac/S00SPG_WTSI/problems/chr5:49600000-91636128,0,0,0,1,88,0.385388040496974,1.01360022198683,42036128,622084,0,0,0,0.693147180559945,4.48863636973214,0.325980274042021,0.699924275082722,17.5540400207611,13.3408320183333,-Inf,-Inf,-Inf,0,4.47733681447821,-0.953504554887158,0.0135085690330883,17.554039996972,13.3408304108346,,,,-Inf,1.49902840861089,,-4.30443105171028,2.86528412267776,2.5908292882378
