sequenceID,min.log.lambda,max.log.lambda,possible.fp,fp,possible.fn,fn,labels,errors
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr10:18024675-38818835,-Inf,2.52404096791058,7,7,2,0,7,7
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr10:18024675-38818835,2.52404096791058,6.97828507379285,7,6,2,0,7,6
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr10:18024675-38818835,6.97828507379285,8.50517671740946,7,7,2,0,7,7
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr10:18024675-38818835,8.50517671740946,8.9621131092493,7,2,2,0,7,2
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr10:18024675-38818835,8.9621131092493,9.10393588831039,7,2,2,0,7,2
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr10:18024675-38818835,9.10393588831039,9.1174138461013,7,2,2,0,7,2
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr10:18024675-38818835,9.1174138461013,9.11979227904399,7,0,2,0,7,0
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr10:18024675-38818835,9.11979227904399,9.12118550054304,7,0,2,0,7,0
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr10:18024675-38818835,9.12118550054304,9.12712445229883,7,0,2,0,7,0
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr10:18024675-38818835,9.12712445229883,9.1314288297881,7,0,2,0,7,0
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr10:18024675-38818835,9.1314288297881,9.15497017846026,7,0,2,0,7,0
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr10:18024675-38818835,9.15497017846026,9.21769568774774,7,0,2,0,7,0
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr10:18024675-38818835,9.21769568774774,9.33230112684086,7,0,2,0,7,0
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr10:18024675-38818835,9.33230112684086,9.82321412482681,7,0,2,0,7,0
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr10:18024675-38818835,9.82321412482681,10.8240848443181,7,0,2,0,7,0
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr10:18024675-38818835,10.8240848443181,11.7862318286614,7,0,2,0,7,0
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr10:18024675-38818835,11.7862318286614,12.292684821047,7,0,2,0,7,0
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr10:18024675-38818835,12.292684821047,12.4270535644946,7,0,2,0,7,0
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr10:18024675-38818835,12.4270535644946,12.4606116389019,7,0,2,0,7,0
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr10:18024675-38818835,12.4606116389019,12.4701159640931,7,0,2,2,7,2
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr10:18024675-38818835,12.4701159640931,12.4970276768856,7,0,2,2,7,2
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr10:18024675-38818835,12.4970276768856,12.5493016385047,7,0,2,2,7,2
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr10:18024675-38818835,12.5493016385047,13.4563523692749,7,0,2,2,7,2
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr10:18024675-38818835,13.4563523692749,Inf,7,0,2,2,7,2
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr1:17175658-29878082,-Inf,2.6851560344082,7,7,2,0,7,7
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr1:17175658-29878082,2.6851560344082,6.81538578432342,7,7,2,0,7,7
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr1:17175658-29878082,6.81538578432342,8.18436117254129,7,7,2,0,7,7
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr1:17175658-29878082,8.18436117254129,9.28742974081988,7,2,2,0,7,2
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr1:17175658-29878082,9.28742974081988,9.43401117006582,7,2,2,0,7,2
