sequenceID,min.log.lambda,max.log.lambda,possible.fp,fp,possible.fn,fn,labels,errors
H3K27ac_TDH_some/samples/bcell/MS009101/problems/chr1:13607162-16800000,-Inf,2.28288561230826,5,5,1,0,5,5
H3K27ac_TDH_some/samples/bcell/MS009101/problems/chr1:13607162-16800000,2.28288561230826,6.23029864983735,5,5,1,0,5,5
H3K27ac_TDH_some/samples/bcell/MS009101/problems/chr1:13607162-16800000,6.23029864983735,7.75541876875168,5,4,1,0,5,4
H3K27ac_TDH_some/samples/bcell/MS009101/problems/chr1:13607162-16800000,7.75541876875168,8.0073897631607,5,4,1,0,5,4
H3K27ac_TDH_some/samples/bcell/MS009101/problems/chr1:13607162-16800000,8.0073897631607,8.16153612997644,5,1,1,0,5,1
H3K27ac_TDH_some/samples/bcell/MS009101/problems/chr1:13607162-16800000,8.16153612997644,8.33691041920914,5,1,1,0,5,1
H3K27ac_TDH_some/samples/bcell/MS009101/problems/chr1:13607162-16800000,8.33691041920914,8.59900912427164,5,1,1,0,5,1
H3K27ac_TDH_some/samples/bcell/MS009101/problems/chr1:13607162-16800000,8.59900912427164,8.78687240792434,5,1,1,0,5,1
H3K27ac_TDH_some/samples/bcell/MS009101/problems/chr1:13607162-16800000,8.78687240792434,9.13193091700472,5,1,1,0,5,1
H3K27ac_TDH_some/samples/bcell/MS009101/problems/chr1:13607162-16800000,9.13193091700472,9.36803477009637,5,1,1,0,5,1
H3K27ac_TDH_some/samples/bcell/MS009101/problems/chr1:13607162-16800000,9.36803477009637,9.53726866505301,5,1,1,0,5,1
H3K27ac_TDH_some/samples/bcell/MS009101/problems/chr1:13607162-16800000,9.53726866505301,9.84635522898119,5,1,1,1,5,2
H3K27ac_TDH_some/samples/bcell/MS009101/problems/chr1:13607162-16800000,9.84635522898119,10.6734027073436,5,1,1,1,5,2
H3K27ac_TDH_some/samples/bcell/MS009101/problems/chr1:13607162-16800000,10.6734027073436,12.6294870286733,5,1,1,1,5,2
H3K27ac_TDH_some/samples/bcell/MS009101/problems/chr1:13607162-16800000,12.6294870286733,13.007156700903,5,1,1,1,5,2
H3K27ac_TDH_some/samples/bcell/MS009101/problems/chr1:13607162-16800000,13.007156700903,13.3039658003857,5,1,1,1,5,2
H3K27ac_TDH_some/samples/bcell/MS009101/problems/chr1:13607162-16800000,13.3039658003857,14.8232193972854,5,0,1,1,5,1
H3K27ac_TDH_some/samples/bcell/MS009101/problems/chr1:13607162-16800000,14.8232193972854,Inf,5,0,1,1,5,1
H3K27ac_TDH_some/samples/bcell/MS009101/problems/chr1:149509645-205922707,-Inf,1.77426472972457,6,6,2,0,6,6
H3K27ac_TDH_some/samples/bcell/MS009101/problems/chr1:149509645-205922707,1.77426472972457,5.73730768818724,6,6,2,0,6,6
H3K27ac_TDH_some/samples/bcell/MS009101/problems/chr1:149509645-205922707,5.73730768818724,7.71190627641407,6,6,2,0,6,6
H3K27ac_TDH_some/samples/bcell/MS009101/problems/chr1:149509645-205922707,7.71190627641407,9.0200163662713,6,3,2,0,6,3
